,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA
90,21748,6,29.67,30.12,226.6,2023-09-16 14:00:00,30.1,73.0,1.0,0,1,-1,997.45,800.02608189918
91,21749,7,30.06,30.53,229.2,2023-09-16 14:00:00,30.1,73.0,1.0,0,1,-1,997.45,800.02608189918
92,21750,8,30.25,30.67,229.8,2023-09-16 14:00:00,30.1,73.0,1.0,0,1,-1,997.45,800.02608189918
93,21751,9,32.3,32.8,245.3,2023-09-16 14:00:00,30.1,73.0,1.0,0,1,-1,997.45,800.02608189918
94,21752,10,29.5,29.93,222.5,2023-09-16 14:00:00,30.1,73.0,1.0,0,1,-1,997.45,800.02608189918
95,21838,6,17.39,17.7,279.5,2023-09-16 17:00:00,31.1,70.0,1.0,0,-1,1,996.79,130.30290609665005
96,21839,7,17.17,17.5,282.6,2023-09-16 17:00:00,31.1,70.0,1.0,0,-1,1,996.79,130.30290609665005
97,21840,8,14.0,14.25,282.3,2023-09-16 17:00:00,31.1,70.0,1.0,0,-1,1,996.79,130.30290609665005
98,21841,9,15.9,16.31,302.4,2023-09-16 17:00:00,31.1,70.0,1.0,0,-1,1,996.79,130.30290609665005
99,21842,10,21.95,22.28,276.1,2023-09-16 17:00:00,31.1,70.0,1.0,0,-1,1,996.79,130.30290609665005
120,22288,6,38.26,38.78,31.1,2023-09-17 08:00:00,26.9,80.0,1.0,0,-1,-1,999.17,444.07879699701704
121,22289,7,38.56,39.07,30.9,2023-09-17 08:00:00,26.9,80.0,1.0,0,-1,-1,999.17,444.07879699701704
122,22290,8,38.22,38.74,30.5,2023-09-17 08:00:00,26.9,80.0,1.0,0,-1,-1,999.17,444.07879699701704
123,22291,9,48.23,48.85,38.9,2023-09-17 08:00:00,26.9,80.0,1.0,0,-1,-1,999.17,444.07879699701704
124,22292,10,30.07,30.47,23.8,2023-09-17 08:00:00,26.9,80.0,1.0,0,-1,-1,999.17,444.07879699701704
125,22378,6,85.57,87.01,221.1,2023-09-17 11:00:00,32.3,60.0,1.0,0,0,-1,998.77,944.9937787846317
126,22379,7,87.25,88.71,223.5,2023-09-17 11:00:00,32.3,60.0,1.0,0,0,-1,998.77,944.9937787846317
127,22380,8,87.99,89.47,226.6,2023-09-17 11:00:00,32.3,60.0,1.0,0,0,-1,998.77,944.9937787846317
128,22381,9,95.76,97.43,269.8,2023-09-17 11:00:00,32.3,60.0,1.0,0,0,-1,998.77,944.9937787846317
129,22382,10,78.99,80.35,194.3,2023-09-17 11:00:00,32.3,60.0,1.0,0,0,-1,998.77,944.9937787846317
130,22468,6,68.22,69.3,427.6,2023-09-17 14:00:00,32.1,66.0,4.0,0,1,-1,996.79,799.3976025171437
131,22469,7,70.17,71.29,435.4,2023-09-17 14:00:00,32.1,66.0,4.0,0,1,-1,996.79,799.3976025171437
132,22470,8,69.99,71.09,439.6,2023-09-17 14:00:00,32.1,66.0,4.0,0,1,-1,996.79,799.3976025171437
133,22471,9,73.75,74.98,521.3,2023-09-17 14:00:00,32.1,66.0,4.0,0,1,-1,996.79,799.3976025171437
134,22472,10,68.68,69.82,394.1,2023-09-17 14:00:00,32.1,66.0,4.0,0,1,-1,996.79,799.3976025171437
135,22558,6,4.52,4.84,542.3,2023-09-17 17:00:00,29.7,80.0,2.0,0,1,-1,997.18,127.46865437834347
136,22559,7,4.79,5.02,551.7,2023-09-17 17:00:00,29.7,80.0,2.0,0,1,-1,997.18,127.46865437834347
137,22560,8,4.53,4.92,551.2,2023-09-17 17:00:00,29.7,80.0,2.0,0,1,-1,997.18,127.46865437834347
138,22561,9,4.76,5.12,639.1,2023-09-17 17:00:00,29.7,80.0,2.0,0,1,-1,997.18,127.46865437834347
139,22562,10,4.73,4.95,512.9,2023-09-17 17:00:00,29.7,80.0,2.0,0,1,-1,997.18,127.46865437834347
160,23008,6,38.21,38.76,30.8,2023-09-18 08:00:00,28.0,86.0,1.0,0,-1,-1,1000.36,445.03283657903717
161,23009,7,38.84,39.38,31.3,2023-09-18 08:00:00,28.0,86.0,1.0,0,-1,-1,1000.36,445.03283657903717
162,23010,8,42.14,42.74,33.0,2023-09-18 08:00:00,28.0,86.0,1.0,0,-1,-1,1000.36,445.03283657903717
163,23011,9,48.73,49.4,38.7,2023-09-18 08:00:00,28.0,86.0,1.0,0,-1,-1,1000.36,445.03283657903717
164,23012,10,31.64,32.1,24.9,2023-09-18 08:00:00,28.0,86.0,1.0,0,-1,-1,1000.36,445.03283657903717
165,23098,6,79.98,81.31,177.4,2023-09-18 11:00:00,32.0,63.0,2.0,0,-1,-1,999.96,945.9247283992481
166,23099,7,80.64,81.99,180.9,2023-09-18 11:00:00,32.0,63.0,2.0,0,-1,-1,999.96,945.9247283992481
167,23100,8,83.09,84.49,179.8,2023-09-18 11:00:00,32.0,63.0,2.0,0,-1,-1,999.96,945.9247283992481
168,23101,9,91.48,93.01,213.4,2023-09-18 11:00:00,32.0,63.0,2.0,0,-1,-1,999.96,945.9247283992481
169,23102,10,74.43,75.69,158.2,2023-09-18 11:00:00,32.0,63.0,2.0,0,-1,-1,999.96,945.9247283992481
170,23188,6,68.76,69.89,419.4,2023-09-18 14:00:00,32.7,63.0,3.0,0,1,-1,998.37,798.7265858966164
171,23189,7,69.48,70.62,425.8,2023-09-18 14:00:00,32.7,63.0,3.0,0,1,-1,998.37,798.7265858966164
172,23190,8,69.72,70.85,429.3,2023-09-18 14:00:00,32.7,63.0,3.0,0,1,-1,998.37,798.7265858966164
173,23191,9,72.84,74.05,480.0,2023-09-18 14:00:00,32.7,63.0,3.0,0,1,-1,998.37,798.7265858966164
174,23192,10,67.59,68.71,384.7,2023-09-18 14:00:00,32.7,63.0,3.0,0,1,-1,998.37,798.7265858966164
175,23273,6,8.73,9.05,540.3,2023-09-18 17:00:00,30.3,71.0,3.0,0,1,-1,998.77,124.60663219982278
176,23274,7,9.55,9.89,547.7,2023-09-18 17:00:00,30.3,71.0,3.0,0,1,-1,998.77,124.60663219982278
177,23275,8,6.31,6.56,543.6,2023-09-18 17:00:00,30.3,71.0,3.0,0,1,-1,998.77,124.60663219982278
178,23276,9,6.76,7.29,603.5,2023-09-18 17:00:00,30.3,71.0,3.0,0,1,-1,998.77,124.60663219982278
179,23277,10,14.79,15.09,514.0,2023-09-18 17:00:00,30.3,71.0,3.0,0,1,-1,998.77,124.60663219982278
200,23723,6,39.26,39.82,32.8,2023-09-19 08:00:00,28.0,81.0,1.0,0,-1,0,1001.02,445.9681025529249
201,23724,7,40.15,40.73,34.0,2023-09-19 08:00:00,28.0,81.0,1.0,0,-1,0,1001.02,445.9681025529249
202,23725,8,40.35,40.94,34.7,2023-09-19 08:00:00,28.0,81.0,1.0,0,-1,0,1001.02,445.9681025529249
203,23726,9,50.75,51.48,47.9,2023-09-19 08:00:00,28.0,81.0,1.0,0,-1,0,1001.02,445.9681025529249
204,23727,10,31.14,31.59,24.5,2023-09-19 08:00:00,28.0,81.0,1.0,0,-1,0,1001.02,445.9681025529249
205,23813,6,83.9,85.35,221.0,2023-09-19 11:00:00,32.4,60.0,2.0,0,1,-1,1000.62,946.8119823212817
206,23814,7,84.94,86.38,224.5,2023-09-19 11:00:00,32.4,60.0,2.0,0,1,-1,1000.62,946.8119823212817
207,23815,8,85.94,87.4,228.2,2023-09-19 11:00:00,32.4,60.0,2.0,0,1,-1,1000.62,946.8119823212817
208,23816,9,95.2,96.81,267.9,2023-09-19 11:00:00,32.4,60.0,2.0,0,1,-1,1000.62,946.8119823212817
209,23817,10,76.86,78.19,189.4,2023-09-19 11:00:00,32.4,60.0,2.0,0,1,-1,1000.62,946.8119823212817
210,23903,6,73.65,74.94,470.0,2023-09-19 14:00:00,32.3,61.0,2.0,0,1,-1,999.04,798.0138131834665
211,23904,7,74.89,76.13,475.9,2023-09-19 14:00:00,32.3,61.0,2.0,0,1,-1,999.04,798.0138131834665
212,23905,8,74.65,75.9,481.4,2023-09-19 14:00:00,32.3,61.0,2.0,0,1,-1,999.04,798.0138131834665
