,id,device_id,gather_time,active_power,direct_power,charge_capacity,date_time
70,19070,8,2023-09-14 09:00:16,19.38,19.83,54.6,2023-09-14 09:00:00
71,19071,9,2023-09-14 09:00:16,23.74,24.16,68.0,2023-09-14 09:00:00
72,19072,10,2023-09-14 09:00:16,17.55,17.91,48.7,2023-09-14 09:00:00
73,19073,6,2023-09-14 09:10:15,78.57,79.69,59.4,2023-09-14 09:10:00
74,19074,7,2023-09-14 09:10:15,27.97,28.39,58.4,2023-09-14 09:10:00
75,19075,8,2023-09-14 09:10:15,53.16,53.88,59.8,2023-09-14 09:10:00
76,19076,9,2023-09-14 09:10:15,83.49,84.67,74.7,2023-09-14 09:10:00
77,19077,10,2023-09-14 09:10:15,64.76,65.61,52.4,2023-09-14 09:10:00
78,19078,6,2023-09-14 09:20:15,33.47,34.08,66.6,2023-09-14 09:20:00
79,19079,7,2023-09-14 09:20:15,36.44,37.01,68.1,2023-09-14 09:20:00
80,19080,8,2023-09-14 09:20:15,77.4,78.65,70.1,2023-09-14 09:20:00
81,19081,9,2023-09-14 09:20:15,66.92,67.9,83.7,2023-09-14 09:20:00
82,19082,10,2023-09-14 09:20:15,71.31,72.38,61.9,2023-09-14 09:20:00
83,19083,6,2023-09-14 09:30:16,81.49,82.84,78.7,2023-09-14 09:30:00
84,19084,7,2023-09-14 09:30:16,82.21,83.57,81.1,2023-09-14 09:30:00
85,19085,8,2023-09-14 09:30:16,81.7,83.06,83.7,2023-09-14 09:30:00
86,19086,9,2023-09-14 09:30:16,92.32,93.83,98.5,2023-09-14 09:30:00
87,19087,10,2023-09-14 09:30:16,73.87,75.07,70.0,2023-09-14 09:30:00
88,19088,6,2023-09-14 09:40:15,85.49,87.15,96.9,2023-09-14 09:40:00
89,19089,7,2023-09-14 09:40:15,82.4,83.84,94.8,2023-09-14 09:40:00
90,19090,8,2023-09-14 09:40:15,87.81,89.36,97.5,2023-09-14 09:40:00
91,19091,9,2023-09-14 09:40:15,90.42,91.95,113.8,2023-09-14 09:40:00
92,19092,10,2023-09-14 09:40:15,78.19,79.56,86.8,2023-09-14 09:40:00
93,19093,6,2023-09-14 09:50:15,84.49,86.03,106.5,2023-09-14 09:50:00
94,19094,7,2023-09-14 09:50:15,83.64,85.07,109.1,2023-09-14 09:50:00
95,19095,8,2023-09-14 09:50:15,84.43,85.87,111.9,2023-09-14 09:50:00
96,19096,9,2023-09-14 09:50:15,92.47,94.03,130.0,2023-09-14 09:50:00
97,19097,10,2023-09-14 09:50:15,79.99,81.4,95.7,2023-09-14 09:50:00
