id;"device_id";"gather_time";"active_power";"direct_power";"charge_capacity"
105032;10;"2024-02-23 17:10:01";0.29;0.75;137.5
105033;6;"2024-02-23 18:10:01";0.0;0.0;135.8
105034;7;"2024-02-23 18:10:01";0.0;0.0;136.8
105035;8;"2024-02-23 18:10:01";0.0;0.0;136.2
105036;9;"2024-02-23 18:10:01";0.0;0.0;149.9
105037;10;"2024-02-23 18:10:01";0.0;0.0;137.6
105038;6;"2024-02-23 19:10:00";0.0;0.0;135.8
105039;7;"2024-02-23 19:10:00";0.0;0.0;136.8
105040;8;"2024-02-23 19:10:00";0.0;0.0;136.2
105041;9;"2024-02-23 19:10:00";0.0;0.0;149.9
105042;10;"2024-02-23 19:10:00";0.0;0.0;137.6
105043;6;"2024-02-23 20:10:01";0.0;0.0;135.8
105044;7;"2024-02-23 20:10:01";0.0;0.0;136.8
105045;8;"2024-02-23 20:10:01";0.0;0.0;136.2
105046;9;"2024-02-23 20:10:01";0.0;0.0;149.9
105047;10;"2024-02-23 20:10:01";0.0;0.0;137.6
105048;6;"2024-02-23 21:10:00";0.0;0.0;135.8
105049;7;"2024-02-23 21:10:00";0.0;0.0;136.8
105050;8;"2024-02-23 21:10:00";0.0;0.0;136.2
105051;9;"2024-02-23 21:10:00";0.0;0.0;149.9
105052;10;"2024-02-23 21:10:00";0.0;0.0;137.6
105053;6;"2024-02-23 22:10:00";0.0;0.0;135.8
105054;7;"2024-02-23 22:10:00";0.0;0.0;136.8
105055;8;"2024-02-23 22:10:00";0.0;0.0;136.2
105056;9;"2024-02-23 22:10:00";0.0;0.0;149.9
105057;10;"2024-02-23 22:10:00";0.0;0.0;137.6
105058;6;"2024-02-23 23:10:00";0.0;0.0;135.8
105059;7;"2024-02-23 23:10:00";0.0;0.0;136.8
105060;8;"2024-02-23 23:10:00";0.0;0.0;136.2
105061;9;"2024-02-23 23:10:01";0.0;0.0;149.9
105062;10;"2024-02-23 23:10:01";0.0;0.0;137.6
105063;6;"2024-02-24 00:10:01";0.0;0.0;0.0
105064;7;"2024-02-24 00:10:01";0.0;0.0;0.0
105065;8;"2024-02-24 00:10:01";0.0;0.0;0.0
105066;9;"2024-02-24 00:10:01";0.0;0.0;0.0
105067;10;"2024-02-24 00:10:01";0.0;0.0;0.0
105068;6;"2024-02-24 01:10:00";0.0;0.0;0.0
105069;7;"2024-02-24 01:10:00";0.0;0.0;0.0
105070;8;"2024-02-24 01:10:00";0.0;0.0;0.0
105071;9;"2024-02-24 01:10:00";0.0;0.0;0.0
105072;10;"2024-02-24 01:10:00";0.0;0.0;0.0
105073;6;"2024-02-24 02:10:00";0.0;0.0;0.0
105074;7;"2024-02-24 02:10:00";0.0;0.0;0.0
105075;8;"2024-02-24 02:10:00";0.0;0.0;0.0
105076;9;"2024-02-24 02:10:00";0.0;0.0;0.0
105077;10;"2024-02-24 02:10:00";0.0;0.0;0.0
105078;6;"2024-02-24 03:10:00";0.0;0.0;0.0
105079;7;"2024-02-24 03:10:00";0.0;0.0;0.0
105080;8;"2024-02-24 03:10:00";0.0;0.0;0.0
