,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
1,19129,7,72.97,74.12,196.3,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,176.5,35.22,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
6,19219,7,79.34,80.84,447.2,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,250.9,72.97,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
11,19309,7,8.81,9.11,571.1,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.03,123.9,79.34,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
16,19399,7,0.0,0.0,573.3,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.2,8.81,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
21,19759,7,46.7,47.42,19.1,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,19.1,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
26,19849,7,52.39,53.15,114.6,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,95.5,46.7,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
31,19939,7,48.92,49.59,351.3,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61,236.7,52.39,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0,14
36,19984,7,8.95,9.25,444.4,2023-09-15 17:00:00,29.7,79.0,3.0,0.0,1,0,996.52,133.11,93.1,48.92,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
41,21209,7,0.0,0.0,447.9,2023-09-15 20:00:00,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,3.5,8.95,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
46,21569,7,15.51,15.81,18.2,2023-09-16 08:00:00,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,18.2,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
51,21659,7,46.07,46.76,112.5,2023-09-16 11:00:00,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,94.3,15.51,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
56,21749,7,30.06,30.53,229.2,2023-09-16 14:00:00,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,116.7,46.07,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
61,21839,7,17.17,17.5,282.6,2023-09-16 17:00:00,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,53.4,30.06,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
66,21929,7,0.0,0.0,290.1,2023-09-16 20:00:00,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,7.5,17.17,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
71,22289,7,38.56,39.07,30.9,2023-09-17 08:00:00,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,30.9,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
76,22379,7,87.25,88.71,223.5,2023-09-17 11:00:00,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,192.6,38.56,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
81,22469,7,70.17,71.29,435.4,2023-09-17 14:00:00,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,211.9,87.25,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
86,22559,7,4.79,5.02,551.7,2023-09-17 17:00:00,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,116.3,70.17,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
91,22649,7,0.0,0.0,555.2,2023-09-17 20:00:00,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.5,4.79,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
96,23009,7,38.84,39.38,31.3,2023-09-18 08:00:00,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,31.3,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
101,23099,7,80.64,81.99,180.9,2023-09-18 11:00:00,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,149.6,38.84,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
106,23189,7,69.48,70.62,425.8,2023-09-18 14:00:00,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,244.9,80.64,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
111,23274,7,9.55,9.89,547.7,2023-09-18 17:00:00,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,121.9,69.48,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
116,23364,7,0.0,0.0,551.5,2023-09-18 20:00:00,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,3.8,9.55,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
121,23724,7,40.15,40.73,34.0,2023-09-19 08:00:00,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,34.0,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
126,23814,7,84.94,86.38,224.5,2023-09-19 11:00:00,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,190.5,40.15,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
131,23904,7,74.89,76.13,475.9,2023-09-19 14:00:00,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,251.4,84.94,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
136,23994,7,11.43,11.69,607.0,2023-09-19 17:00:00,30.0,74.0,3.0,0.0,1,-1,998.77,121.72,131.1,74.89,32.3,61.0,2.0,0.0,1.0,-1.0,999.04,798.01,17
141,24084,7,0.0,0.0,611.3,2023-09-19 20:00:00,28.5,80.0,1.0,0.0,1,-1,999.96,0.0,4.3,11.43,30.0,74.0,3.0,0.0,1.0,-1.0,998.77,121.72,20
146,24444,7,40.44,40.98,30.7,2023-09-20 08:00:00,28.2,80.0,1.0,0.0,-1,0,999.3,446.88,30.7,0.0,26.2,91.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
151,24534,7,64.86,65.88,211.3,2023-09-20 11:00:00,31.5,61.0,1.0,0.0,-1,-1,998.24,947.66,180.6,40.44,28.2,80.0,1.0,0.0,-1.0,0.0,999.3,446.88,11
156,24624,7,64.11,65.09,424.1,2023-09-20 14:00:00,32.0,64.0,3.0,0.0,1,-1,996.13,797.26,212.8,64.86,31.5,61.0,1.0,0.0,-1.0,-1.0,998.24,947.66,14
161,24714,7,9.03,9.47,534.2,2023-09-20 17:00:00,29.7,78.0,3.0,0.0,1,0,996.39,118.81,110.1,64.11,32.0,64.0,3.0,0.0,1.0,-1.0,996.13,797.26,17
166,24804,7,0.0,0.0,537.8,2023-09-20 20:00:00,28.5,83.0,2.0,0.0,1,1,997.98,0.0,3.6,9.03,29.7,78.0,3.0,0.0,1.0,0.0,996.39,118.81,20
171,25164,7,42.38,42.97,28.8,2023-09-21 08:00:00,29.4,78.0,1.0,0.0,1,1,999.56,447.78,28.8,0.0,26.4,93.0,1.0,0.0,-1.0,0.0,997.98,0.0,8
176,25254,7,82.7,84.24,230.3,2023-09-21 11:00:00,32.6,63.0,2.0,0.0,1,0,999.43,948.45,201.5,42.38,29.4,78.0,1.0,0.0,1.0,1.0,999.56,447.78,11
181,25344,7,69.37,70.53,472.9,2023-09-21 14:00:00,32.6,63.0,4.0,0.0,1,-1,997.58,796.47,242.6,82.7,32.6,63.0,2.0,0.0,1.0,0.0,999.43,948.45,14
186,25434,7,4.88,5.13,587.1,2023-09-21 17:00:00,30.3,74.0,4.0,0.0,1,0,998.24,115.87,114.2,69.37,32.6,63.0,4.0,0.0,1.0,-1.0,997.58,796.47,17
191,25524,7,0.0,0.0,589.2,2023-09-21 20:00:00,28.5,83.0,4.0,0.0,1,1,999.56,0.0,2.1,4.88,30.3,74.0,4.0,0.0,1.0,0.0,998.24,115.87,20
196,25884,7,44.82,45.5,28.8,2023-09-22 08:00:00,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.65,28.8,0.0,26.5,85.0,1.0,0.0,-1.0,1.0,999.56,0.0,8
201,25974,7,40.6,41.16,134.7,2023-09-22 11:00:00,25.6,96.0,1.0,1.0,-1,0,1001.15,949.21,105.9,44.82,25.4,95.0,0.0,0.7,-1.0,-1.0,1000.75,448.65,11
206,26064,7,29.63,30.05,247.3,2023-09-22 14:00:00,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63,112.6,40.6,25.6,96.0,1.0,1.0,-1.0,0.0,1001.15,949.21,14
211,26154,7,8.5,8.75,309.8,2023-09-22 17:00:00,27.9,79.0,5.0,0.0,1,0,999.56,112.91,62.5,29.63,28.8,79.0,1.0,0.5,-1.0,-1.0,999.04,795.63,17
216,26244,7,0.0,0.0,312.0,2023-09-22 20:00:00,27.0,80.0,4.0,0.0,1,1,1001.28,0.0,2.2,8.5,27.9,79.0,5.0,0.0,1.0,0.0,999.56,112.91,20
