,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
221,26604,7,45.15,45.78,15.4,2023-09-23 08:00:00,25.1,93.0,1.0,0.2,-1,1,1001.94,449.5,15.4,0.0,25.0,91.0,1.0,0.1,-1.0,0.0,1000.75,0.0,8
226,26694,7,13.34,13.75,151.0,2023-09-23 11:00:00,28.0,79.0,2.0,0.3,1,1,1001.55,949.91,135.6,45.15,25.1,93.0,1.0,0.2,-1.0,1.0,1001.94,449.5,11
231,26784,7,15.49,15.82,222.5,2023-09-23 14:00:00,27.7,79.0,4.0,0.2,1,1,999.96,794.76,71.5,13.34,28.0,79.0,2.0,0.3,1.0,1.0,1001.55,949.91,14
236,26874,7,3.07,3.39,242.9,2023-09-23 17:00:00,24.7,95.0,3.0,2.0,1,1,1000.36,109.94,20.4,15.49,27.7,79.0,4.0,0.2,1.0,1.0,999.96,794.76,17
241,26964,7,0.0,0.0,244.3,2023-09-23 20:00:00,24.3,95.0,1.0,2.0,-1,1,1001.68,0.0,1.4,3.07,24.7,95.0,3.0,2.0,1.0,1.0,1000.36,109.94,20
246,27324,7,37.17,37.64,32.4,2023-09-24 08:00:00,27.8,80.0,1.0,0.0,1,0,1001.28,450.32,32.4,0.0,24.2,94.0,1.0,0.0,-1.0,0.0,1000.23,0.0,8
251,27414,7,69.13,70.25,211.2,2023-09-24 11:00:00,31.4,65.0,1.0,0.0,0,-1,1000.62,950.58,178.8,37.17,27.8,80.0,1.0,0.0,1.0,0.0,1001.28,450.32,11
256,27504,7,63.4,64.31,414.9,2023-09-24 14:00:00,32.1,61.0,2.0,0.0,1,-1,998.37,793.86,203.7,69.13,31.4,65.0,1.0,0.0,0.0,-1.0,1000.62,950.58,14
261,27594,7,5.84,6.12,526.3,2023-09-24 17:00:00,29.5,74.0,2.0,0.0,1,0,998.64,106.95,111.4,63.4,32.1,61.0,2.0,0.0,1.0,-1.0,998.37,793.86,17
266,27684,7,0.0,0.0,528.3,2023-09-24 20:00:00,27.7,86.0,2.0,0.0,1,0,999.96,0.0,2.0,5.84,29.5,74.0,2.0,0.0,1.0,0.0,998.64,106.95,20
271,28044,7,35.25,35.69,27.5,2023-09-25 08:00:00,28.0,83.0,1.0,0.0,-1,0,1000.62,451.12,27.5,0.0,26.0,92.0,1.0,0.0,-1.0,1.0,999.17,0.0,8
276,28134,7,61.38,63.45,191.3,2023-09-25 11:00:00,32.1,64.0,3.0,0.0,1,0,999.96,951.19,163.8,35.25,28.0,83.0,1.0,0.0,-1.0,0.0,1000.62,451.12,11
281,28224,7,63.2,64.14,403.0,2023-09-25 14:00:00,31.4,69.0,4.0,0.0,1,-1,998.24,792.91,211.7,61.38,32.1,64.0,3.0,0.0,1.0,0.0,999.96,951.19,14
286,28314,7,6.2,6.58,511.9,2023-09-25 17:00:00,29.6,76.0,3.0,0.0,1,0,998.9,103.94,108.9,63.2,31.4,69.0,4.0,0.0,1.0,-1.0,998.24,792.91,17
291,28404,7,0.0,0.0,514.4,2023-09-25 20:00:00,28.3,81.0,4.0,0.0,1,0,1000.36,0.0,2.5,6.2,29.6,76.0,3.0,0.0,1.0,0.0,998.9,103.94,20
296,28764,7,33.46,33.88,28.4,2023-09-26 08:00:00,28.5,73.0,0.0,0.0,-1,0,1001.55,451.89,28.4,0.0,26.8,83.0,1.0,0.0,-1.0,1.0,999.96,0.0,8
301,28854,7,70.42,71.59,179.9,2023-09-26 11:00:00,31.9,61.0,0.0,0.0,0,0,1000.75,951.76,151.5,33.46,28.5,73.0,0.0,0.0,-1.0,0.0,1001.55,451.89,11
306,28944,7,61.3,62.22,396.6,2023-09-26 14:00:00,30.6,69.0,1.5,0.0,0,0,1000.09,791.94,216.7,70.42,31.9,61.0,0.0,0.0,0.0,0.0,1000.75,951.76,14
311,29034,7,5.14,5.56,487.7,2023-09-26 17:00:00,29.2,77.0,3.0,0.0,1,0,999.43,100.93,91.1,61.3,30.6,69.0,1.5,0.0,0.0,0.0,1000.09,791.94,17
316,29124,7,0.0,0.0,489.4,2023-09-26 20:00:00,28.2,82.0,4.0,0.0,1,1,1000.89,0.0,1.7,5.14,29.2,77.0,3.0,0.0,1.0,0.0,999.43,100.93,20
321,29484,7,34.28,34.71,27.7,2023-09-27 08:00:00,28.4,72.0,2.0,0.0,0,1,1001.15,452.64,27.7,0.0,25.5,83.0,0.0,0.0,0.0,1.0,1000.36,0.0,8
326,29574,7,50.15,53.43,190.0,2023-09-27 11:00:00,30.5,63.0,2.0,0.0,-1,1,1000.36,952.29,162.3,34.28,28.4,72.0,2.0,0.0,0.0,1.0,1001.15,452.64,11
331,29664,7,61.06,61.95,396.7,2023-09-27 14:00:00,30.6,66.0,3.0,6.0,1,-1,998.64,790.93,206.7,50.15,30.5,63.0,2.0,0.0,-1.0,1.0,1000.36,952.29,14
336,29754,7,6.68,7.01,498.1,2023-09-27 17:00:00,29.5,73.0,3.0,0.0,1,0,998.77,97.9,101.4,61.06,30.6,66.0,3.0,0.0,1.0,-1.0,998.64,790.93,17
341,29844,7,0.0,0.0,500.4,2023-09-27 20:00:00,28.1,80.0,4.0,0.0,1,0,1000.62,0.0,2.3,6.68,29.5,73.0,3.0,0.0,1.0,0.0,998.77,97.9,20
346,30204,7,27.66,28.07,21.7,2023-09-28 08:00:00,27.8,77.0,1.0,0.0,-1,1,1002.21,453.35,21.7,0.0,25.3,88.0,1.0,0.0,-1.0,1.0,1000.49,0.0,8
351,30294,7,82.92,84.24,173.1,2023-09-28 11:00:00,31.8,60.0,2.0,0.0,-1,1,1001.55,952.76,151.4,27.66,27.8,77.0,1.0,0.0,-1.0,1.0,1002.21,453.35,11
356,30384,7,59.38,60.3,374.2,2023-09-28 14:00:00,32.8,58.0,5.0,0.0,1,0,999.56,789.89,201.1,82.92,31.8,60.0,2.0,0.0,-1.0,1.0,1001.55,952.76,14
361,30474,7,3.23,3.59,475.8,2023-09-28 17:00:00,30.0,66.0,3.0,0.0,1,0,1000.23,94.87,101.6,59.38,32.8,58.0,5.0,0.0,1.0,0.0,999.56,789.89,17
366,30564,7,0.0,0.0,477.1,2023-09-28 20:00:00,28.1,80.0,4.0,0.0,1,0,1001.81,0.0,1.3,3.23,30.0,66.0,3.0,0.0,1.0,0.0,1000.23,94.87,20
371,30924,7,30.5,30.92,25.8,2023-09-29 08:00:00,27.9,72.0,3.0,0.0,0,1,1002.47,454.03,25.8,0.0,25.6,82.0,2.0,0.0,-1.0,1.0,1001.55,0.0,8
376,31014,7,78.63,79.95,180.1,2023-09-29 11:00:00,31.6,60.0,1.0,0.0,1,1,1001.94,953.19,154.3,30.5,27.9,72.0,3.0,0.0,0.0,1.0,1002.47,454.03,11
381,31104,7,61.29,62.15,379.3,2023-09-29 14:00:00,32.4,58.0,3.0,0.0,1,-1,1000.36,788.82,199.2,78.63,31.6,60.0,1.0,0.0,1.0,1.0,1001.94,953.19,14
386,31194,7,5.96,6.23,483.8,2023-09-29 17:00:00,29.7,67.0,3.0,0.0,1,0,999.83,91.83,104.5,61.29,32.4,58.0,3.0,0.0,1.0,-1.0,1000.36,788.82,17
391,31284,7,0.0,0.0,485.9,2023-09-29 20:00:00,27.6,80.0,2.0,0.0,1,-1,1000.62,0.0,2.1,5.96,29.7,67.0,3.0,0.0,1.0,0.0,999.83,91.83,20
396,31644,7,31.83,32.27,26.5,2023-09-30 08:00:00,26.7,81.0,2.0,0.0,-1,-1,999.56,454.68,26.5,0.0,24.9,90.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
401,31734,7,72.03,73.12,182.9,2023-09-30 11:00:00,32.0,58.0,1.0,0.0,1,-1,998.77,953.58,156.4,31.83,26.7,81.0,2.0,0.0,-1.0,-1.0,999.56,454.68,11
406,31824,7,59.36,60.18,386.5,2023-09-30 14:00:00,33.3,59.0,2.0,0.0,1,-1,996.39,787.73,203.6,72.03,32.0,58.0,1.0,0.0,1.0,-1.0,998.77,953.58,14
411,31914,7,5.95,6.27,491.4,2023-09-30 17:00:00,30.2,69.0,2.0,0.0,1,-1,995.99,88.79,104.9,59.36,33.3,59.0,2.0,0.0,1.0,-1.0,996.39,787.73,17
416,32004,7,0.0,0.0,493.4,2023-09-30 20:00:00,28.8,77.0,3.0,0.0,1,0,998.37,0.0,2.0,5.95,30.2,69.0,2.0,0.0,1.0,-1.0,995.99,88.79,20
421,32364,7,4.25,4.53,3.4,2023-10-01 08:00:00,23.0,97.0,0.0,83.0,0,1,1001.42,455.29,3.4,0.0,23.2,93.0,2.0,74.0,1.0,1.0,999.17,0.0,8
426,32454,7,21.98,22.34,47.1,2023-10-01 11:00:00,24.2,87.0,1.0,14.0,1,1,1001.94,953.91,43.7,4.25,23.0,97.0,0.0,83.0,0.0,1.0,1001.42,455.29,11
431,32544,7,39.84,40.4,149.3,2023-10-01 14:00:00,23.6,86.0,2.0,14.0,-1,1,1000.75,786.61,102.2,21.98,24.2,87.0,1.0,14.0,1.0,1.0,1001.94,953.91,14
436,32634,7,9.75,10.04,203.3,2023-10-01 17:00:00,24.3,79.0,2.0,12.0,-1,1,1000.36,85.75,54.0,39.84,23.6,86.0,2.0,14.0,-1.0,1.0,1000.75,786.61,17
441,32724,7,0.0,0.0,206.4,2023-10-01 20:00:00,24.4,73.0,3.0,6.0,1,1,1001.55,0.0,3.1,9.75,24.3,79.0,2.0,12.0,-1.0,1.0,1000.36,85.75,20
446,33084,7,45.83,46.42,31.8,2023-10-02 08:00:00,24.3,59.0,2.0,0.0,0,1,1003.53,455.87,31.8,0.0,22.7,73.0,2.0,0.0,-1.0,1.0,1002.08,0.0,8
451,33174,7,87.0,88.51,241.1,2023-10-02 11:00:00,27.8,50.0,2.0,0.0,1,1,1002.47,954.2,209.3,45.83,24.3,59.0,2.0,0.0,0.0,1.0,1003.53,455.87,11
456,33264,7,19.43,19.86,496.3,2023-10-02 14:00:00,27.9,58.0,4.0,0.0,1,0,1000.36,785.46,255.2,87.0,27.8,50.0,2.0,0.0,1.0,1.0,1002.47,954.2,14
461,33354,7,4.88,5.1,614.9,2023-10-02 17:00:00,26.2,58.0,4.0,0.0,1,0,1000.75,82.72,118.6,19.43,27.9,58.0,4.0,0.0,1.0,0.0,1000.36,785.46,17
466,33444,7,0.0,0.0,616.8,2023-10-02 20:00:00,25.3,61.0,3.0,0.0,1,1,1002.21,0.0,1.9,4.88,26.2,58.0,4.0,0.0,1.0,0.0,1000.75,82.72,20
471,33804,7,41.82,42.36,32.6,2023-10-03 08:00:00,24.0,69.0,2.0,0.0,-1,0,1001.02,456.41,32.6,0.0,21.5,84.0,2.0,0.0,-1.0,1.0,999.96,0.0,8
476,33894,7,95.56,97.19,232.8,2023-10-03 11:00:00,28.8,57.0,2.0,0.0,1,1,1000.36,954.45,200.2,41.82,24.0,69.0,2.0,0.0,-1.0,0.0,1001.02,456.41,11
481,33984,7,70.12,71.28,479.3,2023-10-03 14:00:00,31.1,51.0,1.0,0.0,1,0,997.45,784.3,246.5,95.56,28.8,57.0,2.0,0.0,1.0,1.0,1000.36,954.45,14
486,34074,7,6.51,6.75,598.9,2023-10-03 17:00:00,28.0,67.0,4.0,0.0,1,0,997.58,79.7,119.6,70.12,31.1,51.0,1.0,0.0,1.0,0.0,997.45,784.3,17
491,34164,7,0.0,0.0,601.2,2023-10-03 20:00:00,26.3,73.0,4.0,0.0,1,1,999.04,0.0,2.3,6.51,28.0,67.0,4.0,0.0,1.0,0.0,997.58,79.7,20
496,34524,7,39.68,40.24,30.7,2023-10-04 08:00:00,26.0,70.0,3.0,0.0,0,1,999.83,456.91,30.7,0.0,23.3,83.0,1.0,0.0,-1.0,1.0,998.51,0.0,8
501,34614,7,85.04,86.53,223.6,2023-10-04 11:00:00,29.5,57.0,4.0,0.0,1,1,998.37,954.64,192.9,39.68,26.0,70.0,3.0,0.0,0.0,1.0,999.83,456.91,11
506,34704,7,37.22,37.78,464.1,2023-10-04 14:00:00,30.0,56.0,4.0,0.0,1,1,996.66,783.11,240.5,85.04,29.5,57.0,4.0,0.0,1.0,1.0,998.37,954.64,14
511,34794,7,6.28,6.6,579.3,2023-10-04 17:00:00,28.5,58.0,3.0,0.0,0,1,997.18,76.68,115.2,37.22,30.0,56.0,4.0,0.0,1.0,1.0,996.66,783.11,17
516,34884,7,0.0,0.0,581.3,2023-10-04 20:00:00,26.5,64.0,2.0,0.0,1,1,999.17,0.0,2.0,6.28,28.5,58.0,3.0,0.0,0.0,1.0,997.18,76.68,20
521,35244,7,8.31,8.56,8.6,2023-10-05 08:00:00,24.3,51.0,3.0,0.0,1,1,1002.08,457.38,8.6,0.0,24.4,62.0,3.0,0.0,1.0,1.0,999.3,0.0,8
526,35334,7,11.46,11.71,57.3,2023-10-05 11:00:00,25.7,50.0,2.0,0.0,1,1,1002.08,954.79,48.7,8.31,24.3,51.0,3.0,0.0,1.0,1.0,1002.08,457.38,11
531,35424,7,7.71,8.02,106.3,2023-10-05 14:00:00,23.3,74.0,4.0,0.0,1,1,1000.62,781.91,49.0,11.46,25.7,50.0,2.0,0.0,1.0,1.0,1002.08,954.79,14
536,35514,7,2.78,3.05,124.9,2023-10-05 17:00:00,23.3,72.0,2.0,0.2,0,1,1001.28,73.69,18.6,7.71,23.3,74.0,4.0,0.0,1.0,1.0,1000.62,781.91,17
541,35604,7,0.0,0.0,125.7,2023-10-05 20:00:00,23.1,62.0,4.0,0.2,1,1,1002.87,0.0,0.8,2.78,23.3,72.0,2.0,0.2,0.0,1.0,1001.28,73.69,20
546,35964,7,4.25,4.56,3.9,2023-10-06 08:00:00,20.8,70.0,2.0,0.0,-1,1,1004.59,457.8,3.9,0.0,20.6,68.0,3.0,0.0,0.0,1.0,1002.87,0.0,8
551,36054,7,16.11,16.37,59.6,2023-10-06 11:00:00,21.1,70.0,2.0,0.0,0,1,1004.59,954.9,55.7,4.25,20.8,70.0,2.0,0.0,-1.0,1.0,1004.59,457.8,11
556,36144,7,13.23,13.56,110.1,2023-10-06 14:00:00,21.1,72.0,3.0,0.0,-1,1,1002.47,780.69,50.5,16.11,21.1,70.0,2.0,0.0,0.0,1.0,1004.59,954.9,14
561,36234,7,3.49,3.93,135.5,2023-10-06 17:00:00,21.1,72.0,3.0,0.0,0,1,1002.74,70.7,25.4,13.23,21.1,72.0,3.0,0.0,-1.0,1.0,1002.47,780.69,17
566,36324,7,0.0,0.0,136.1,2023-10-06 20:00:00,19.6,84.0,3.0,0.5,1,1,1004.06,0.0,0.6,3.49,21.1,72.0,3.0,0.0,0.0,1.0,1002.74,70.7,20
571,36684,7,3.76,4.0,2.1,2023-10-07 08:00:00,17.9,95.0,1.0,16.0,-1,0,1004.32,458.18,2.1,0.0,17.6,95.0,2.0,8.0,-1.0,1.0,1002.87,0.0,8
576,36894,7,0.0,0.0,371.2,2023-12-11 20:00:00,18.0,88.0,3.0,0.0,1,1,1004.72,0.0,0.1,0.96,19.7,82.0,4.0,0.0,1.0,0.0,1001.15,1.25,20
581,37254,7,2.64,2.94,0.5,2023-12-12 08:00:00,11.7,96.0,2.0,2.0,1,0,1009.21,354.85,0.5,0.0,13.0,89.0,3.0,0.0,1.0,0.0,1006.7,0.0,8
586,37344,7,22.94,23.28,25.9,2023-12-12 11:00:00,13.2,86.0,1.0,2.0,1,-1,1010.27,881.82,25.4,2.64,11.7,96.0,2.0,2.0,1.0,0.0,1009.21,354.85,11
591,37434,7,21.76,22.07,140.2,2023-12-12 14:00:00,14.1,77.0,3.0,2.0,1,-1,1008.82,727.92,114.3,22.94,13.2,86.0,1.0,2.0,1.0,-1.0,1010.27,881.82,14
596,37524,7,0.05,0.28,171.8,2023-12-12 17:00:00,13.6,71.0,2.0,2.0,1,0,1010.01,1.41,31.6,21.76,14.1,77.0,3.0,2.0,1.0,-1.0,1008.82,727.92,17
601,37614,7,0.0,0.0,171.8,2023-12-12 20:00:00,12.8,69.0,4.0,0.0,1,1,1011.86,0.0,0.0,0.05,13.6,71.0,2.0,2.0,1.0,0.0,1010.01,1.41,20
606,37974,7,5.06,5.31,2.3,2023-12-13 08:00:00,11.0,75.0,0.0,0.0,-1,1,1013.71,352.32,2.3,0.0,9.9,77.0,2.0,0.0,1.0,0.0,1012.26,0.0,8
611,38064,7,22.7,23.08,44.7,2023-12-13 11:00:00,13.5,71.0,1.0,0.0,-1,-1,1013.18,880.98,42.4,5.06,11.0,75.0,0.0,0.0,-1.0,1.0,1013.71,352.32,11
616,38154,7,30.11,30.51,144.5,2023-12-13 14:00:00,16.4,60.0,2.0,0.0,-1,-1,1010.14,728.92,99.8,22.7,13.5,71.0,1.0,0.0,-1.0,-1.0,1013.18,880.98,14
621,38244,7,0.62,0.95,190.2,2023-12-13 17:00:00,15.7,66.0,0.0,0.0,0,0,1009.48,1.6,45.7,30.11,16.4,60.0,2.0,0.0,-1.0,-1.0,1010.14,728.92,17
626,38334,7,0.0,0.0,190.3,2023-12-13 20:00:00,15.5,72.0,0.0,0.0,0,0,1010.27,0.0,0.1,0.62,15.7,66.0,0.0,0.0,0.0,0.0,1009.48,1.6,20
631,38694,7,18.57,19.01,6.6,2023-12-14 08:00:00,16.3,80.0,2.0,0.0,-1,0,1009.08,349.83,6.6,0.0,15.3,81.0,1.0,0.0,-1.0,-1.0,1008.42,0.0,8
636,38784,7,29.26,29.65,73.1,2023-12-14 11:00:00,20.6,69.0,2.0,0.0,-1,0,1008.69,880.22,66.5,18.57,16.3,80.0,2.0,0.0,-1.0,0.0,1009.08,349.83,11
641,38874,7,51.47,52.11,196.8,2023-12-14 14:00:00,24.3,63.0,3.0,0.0,1,0,1005.25,730.01,123.7,29.26,20.6,69.0,2.0,0.0,-1.0,0.0,1008.69,880.22,14
646,38964,7,0.59,0.75,266.1,2023-12-14 17:00:00,20.4,84.0,2.0,0.0,1,1,1004.72,1.83,69.3,51.47,24.3,63.0,3.0,0.0,1.0,0.0,1005.25,730.01,17
651,39054,7,0.0,0.0,266.2,2023-12-14 20:00:00,18.2,91.0,1.0,0.0,1,1,1005.38,0.0,0.1,0.59,20.4,84.0,2.0,0.0,1.0,1.0,1004.72,1.83,20
