,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
44,19942,10,48.47,49.18,331.3,31.5,67.0,4.0,0.0,1,-1,996.66,800.61,224.2,51.94,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0,14
45,19983,6,7.9,8.22,440.4,29.7,79.0,3.0,0.0,1,0,996.52,133.11,91.6,48.47,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
46,19984,7,8.95,9.25,444.4,29.7,79.0,3.0,0.0,1,0,996.52,133.11,93.1,48.92,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
47,19985,8,5.79,6.08,434.3,29.7,79.0,3.0,0.0,1,0,996.52,133.11,80.8,49.33,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
48,19986,9,5.4,5.84,483.9,29.7,79.0,3.0,0.0,1,0,996.52,133.11,90.1,51.83,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
49,19987,10,15.35,15.77,432.9,29.7,79.0,3.0,0.0,1,0,996.52,133.11,101.6,48.47,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
50,21208,6,0.0,0.0,443.8,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,3.4,7.9,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
51,21209,7,0.0,0.0,447.9,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,3.5,8.95,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
52,21210,8,0.0,0.0,437.0,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,2.7,5.79,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
53,21211,9,0.0,0.0,486.9,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,3.0,5.4,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
54,21212,10,0.0,0.0,439.1,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,6.2,15.35,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
