,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
8,19131,9,72.45,73.67,232.2,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,205.0,50.39,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
13,19221,9,81.16,82.51,492.9,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,260.7,72.45,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
18,19311,9,10.24,10.67,614.2,28.6,75.0,5.0,0.0,1,0,996.39,136.03,121.3,81.16,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
23,19401,9,0.0,0.0,616.7,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.5,10.24,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
33,19761,9,62.12,62.96,25.3,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,25.3,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
38,19851,9,78.36,80.12,134.2,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,108.9,62.12,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
43,19941,9,51.83,52.64,393.8,31.5,67.0,4.0,0.0,1,-1,996.66,800.61,259.6,78.36,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0,14
48,19986,9,5.4,5.84,483.9,29.7,79.0,3.0,0.0,1,0,996.52,133.11,90.1,51.83,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
53,21211,9,0.0,0.0,486.9,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,3.0,5.4,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
63,21571,9,15.36,15.7,19.0,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,19.0,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
68,21661,9,49.75,50.5,122.7,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,103.7,15.36,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
73,21751,9,32.3,32.8,245.3,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,122.6,49.75,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
78,21841,9,15.9,16.31,302.4,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,57.1,32.3,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
83,21931,9,0.0,0.0,309.6,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,7.2,15.9,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
93,22291,9,48.23,48.85,38.9,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,38.9,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
