,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p),hour,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,POA_b,Po(p)_b,device_id,cc_diff
872,10.0,57.0,1.0,0.0,1,1,6.84,1020.32,17,11.4,47.0,3.0,0.0,0.0,1.0,745.7,1019.13,8,57.9
2176,13.4,85.0,1.0,0.0,1,1,0.0,1009.88,20,17.6,66.0,3.0,0.0,1.0,1.0,167.0,1008.69,7,2.0
1189,14.2,54.0,3.0,0.0,-1,-1,888.67,1009.21,11,9.0,65.0,2.0,0.0,-1.0,0.0,320.44,1009.88,10,83.7
214,27.9,79.0,5.0,0.0,1,0,112.91,999.56,17,28.8,79.0,1.0,0.5,-1.0,-1.0,795.63,999.04,10,61.5
628,15.5,72.0,0.0,0.0,0,0,0.0,1010.27,20,15.7,66.0,0.0,0.0,0.0,0.0,1.6,1009.48,9,0.1
38,29.7,79.0,3.0,0.0,1,0,133.11,996.52,17,31.5,67.0,4.0,0.0,1.0,-1.0,800.61,996.66,9,90.1
1422,16.7,63.0,3.0,0.0,1,0,68.87,1008.69,17,21.0,45.0,2.0,0.0,1.0,0.0,808.54,1008.42,8,55.9
1320,11.4,63.0,3.0,0.0,1,0,51.88,1009.88,17,17.1,21.0,4.0,0.0,-1.0,1.0,795.41,1008.55,6,70.3
304,31.9,61.0,0.0,0.0,0,0,951.76,1000.75,11,28.5,73.0,0.0,0.0,-1.0,0.0,451.89,1001.55,10,133.2
804,5.4,66.0,2.0,0.0,-1,1,0.0,1017.81,20,7.4,61.0,1.0,0.0,-1.0,0.0,4.39,1016.22,10,0.2
1522,15.4,80.0,2.0,0.0,1,-1,84.58,1005.51,17,19.6,66.0,4.0,0.0,1.0,0.0,819.1,1004.59,8,55.4
2141,17.8,36.0,3.0,0.0,1,-1,873.61,1015.56,14,14.7,54.0,1.0,0.0,-1.0,-1.0,948.19,1018.34,7,237.8
829,2.7,41.0,3.0,0.0,0,1,0.0,1024.15,20,5.2,35.0,2.0,0.0,-1.0,1.0,5.1,1020.98,10,0.3
119,28.7,77.0,2.0,0.0,1,-1,0.0,1000.62,20,30.3,71.0,3.0,0.0,1.0,-1.0,124.61,998.77,10,6.3
2371,15.3,97.0,3.0,0.0,1,0,177.92,1001.28,17,15.7,91.0,3.0,0.0,1.0,0.0,881.45,1000.09,7,21.1
597,13.6,71.0,2.0,2.0,1,0,1.41,1010.01,17,14.1,77.0,3.0,2.0,1.0,-1.0,727.92,1008.82,8,31.6
2269,15.9,62.0,2.0,0.0,1,-1,879.61,1004.46,14,11.4,70.0,1.0,0.0,-1.0,-1.0,955.0,1008.16,10,123.7
1885,9.6,98.0,1.0,4.0,1,-1,929.74,1012.12,11,9.5,99.0,2.0,4.0,1.0,1.0,332.29,1011.46,6,19.0
1821,13.7,87.0,3.0,9.0,1,0,126.62,1008.29,17,16.5,77.0,1.0,15.0,1.0,-1.0,846.39,1008.16,7,77.5
1163,11.8,42.0,2.0,0.0,1,-1,887.42,1013.45,11,5.6,76.0,1.0,0.0,-1.0,0.0,320.76,1013.71,9,181.8
870,10.0,57.0,1.0,0.0,1,1,6.84,1020.32,17,11.4,47.0,3.0,0.0,0.0,1.0,745.7,1019.13,6,77.6
674,16.8,94.0,4.0,0.0,1,0,2.09,1003.53,17,20.5,84.0,3.0,0.0,1.0,0.0,731.19,1000.49,10,16.5
2316,22.8,67.0,3.0,0.0,1,0,880.61,1000.09,14,23.3,63.0,1.0,0.0,1.0,-1.0,956.65,1003.0,7,201.5
1760,11.7,32.0,2.0,0.0,0,1,921.49,1019.26,11,7.0,63.0,2.0,0.0,0.0,1.0,326.62,1018.73,6,111.1
994,19.0,62.0,2.0,0.0,1,-1,757.47,1011.46,14,15.2,74.0,2.0,0.0,-1.0,-1.0,880.91,1013.97,10,166.0
1094,13.6,51.0,2.0,0.0,1,0,768.14,1012.52,14,11.6,51.0,2.0,0.0,1.0,1.0,884.15,1015.43,10,155.8
465,25.3,61.0,3.0,0.0,1,1,0.0,1002.21,20,26.2,58.0,4.0,0.0,1.0,0.0,82.72,1000.75,6,2.2
2161,18.3,55.0,2.0,0.0,-1,-1,950.1,1012.39,11,10.3,74.0,2.0,0.0,-1.0,0.0,351.64,1013.84,7,154.8
1648,3.3,45.0,3.0,0.0,-1,0,102.53,1020.19,17,3.8,42.0,3.0,0.1,-1.0,0.0,830.43,1019.53,9,11.5
1829,11.9,94.0,2.0,0.9082105263157895,1,1,0.0,1009.88,20,13.7,87.0,3.0,9.0,1.0,0.0,126.62,1008.29,10,1.2
1981,5.3,84.0,2.0,0.0,1,0,338.34,1015.16,8,6.5,79.0,3.0,0.0,1.0,0.0,0.0,1013.97,7,0.5
1578,12.3,63.0,3.0,1.0,0,1,0.0,1008.42,20,13.5,68.0,4.0,1.0,-1.0,1.0,91.78,1006.31,9,0.4
502,29.5,57.0,4.0,0.0,1,1,954.64,998.37,11,26.0,70.0,3.0,0.0,0.0,1.0,456.91,999.83,8,194.3
83,32.1,66.0,4.0,0.0,1,-1,799.4,996.79,14,32.3,60.0,1.0,0.0,0.0,-1.0,944.99,998.77,9,251.5
1206,10.5,69.0,2.0,0.0,-1,0,320.22,1010.14,8,10.2,71.0,2.0,0.0,-1.0,-1.0,0.0,1008.69,7,3.4
144,28.5,80.0,1.0,0.0,1,-1,0.0,999.96,20,30.0,74.0,3.0,0.0,1.0,-1.0,121.72,998.77,10,6.1
172,29.4,78.0,1.0,0.0,1,1,447.78,999.56,8,26.4,93.0,1.0,0.0,-1.0,0.0,0.0,997.98,8,30.3
705,3.7,46.0,3.0,0.1,-1,1,343.13,1022.57,8,3.7,47.0,2.0,0.1,0.0,1.0,0.0,1020.98,6,4.0
1681,3.9,48.0,1.0,0.0,0,1,324.34,1020.98,8,3.9,52.0,2.0,0.0,0.0,1.0,0.0,1018.6,7,3.8
506,30.0,56.0,4.0,0.0,1,1,783.11,996.66,14,29.5,57.0,4.0,0.0,1.0,1.0,954.64,998.37,7,240.5
2045,7.3,68.0,1.0,0.4,-1,1,154.04,1009.88,17,7.6,71.0,2.0,0.4,1.0,1.0,865.8,1009.88,6,44.3
754,8.0,98.0,2.0,2.0,-1,0,0.0,1011.46,20,7.6,98.0,2.0,1.0,-1.0,0.0,3.25,1012.26,10,0.0
1968,10.8,74.0,3.0,0.0,1,-1,859.56,1009.88,14,14.8,60.0,1.0,0.0,0.0,-1.0,935.07,1010.67,9,195.4
87,29.7,80.0,2.0,0.0,1,-1,127.47,997.18,17,32.1,66.0,4.0,0.0,1.0,-1.0,799.4,996.79,8,111.6
313,29.2,77.0,3.0,0.0,1,0,100.93,999.43,17,30.6,69.0,1.5,0.0,0.0,0.0,791.94,1000.09,9,108.1
1814,12.8,90.0,2.0,18.0,-1,-1,924.68,1011.07,11,8.9,99.0,2.0,19.0,-1.0,-1.0,328.62,1011.46,10,69.5
1908,10.0,97.0,0.0,0.0,-1,1,333.69,1010.67,8,9.2,98.0,1.0,0.0,-1.0,-1.0,0.0,1010.14,9,3.4
2327,16.2,92.0,3.0,0.0,1,1,0.0,1000.75,20,18.1,84.0,3.0,0.0,1.0,1.0,175.86,999.7,8,2.2
2059,6.1,66.0,1.0,0.0,1,1,343.66,1014.5,8,5.6,67.0,1.0,0.0,-1.0,1.0,0.0,1012.78,10,3.4
2170,17.6,66.0,3.0,0.0,1,1,167.0,1008.69,17,22.4,51.0,2.0,0.0,1.0,0.0,875.46,1009.08,6,118.3
364,30.0,66.0,3.0,0.0,1,0,94.87,1000.23,17,32.8,58.0,5.0,0.0,1.0,0.0,789.89,999.56,10,107.6
655,17.0,99.0,1.0,0.0,-1,0,347.4,1003.53,8,16.8,98.0,1.0,0.0,-1.0,0.0,0.0,1002.34,6,1.4
653,18.2,91.0,1.0,0.0,1,1,0.0,1005.38,20,20.4,84.0,2.0,0.0,1.0,1.0,1.83,1004.72,9,0.1
2391,8.0,96.0,2.0,4.0,1,1,881.8,1009.88,14,8.5,98.0,2.0,5.0,1.0,0.0,959.15,1011.46,7,29.5
1425,13.8,75.0,1.0,0.0,1,1,0.0,1009.88,20,16.7,63.0,3.0,0.0,1.0,0.0,68.87,1008.69,6,0.4
998,14.7,81.0,2.0,0.0,1,0,13.6,1012.26,17,19.0,62.0,2.0,0.0,1.0,-1.0,757.47,1011.46,9,86.3
1106,6.3,89.0,2.0,0.0,-1,0,321.72,1011.07,8,5.7,90.0,2.0,0.0,-1.0,0.0,0.0,1010.93,7,6.4
668,20.5,84.0,3.0,0.0,1,0,731.19,1000.49,14,18.3,97.0,1.0,0.0,0.0,-1.0,879.53,1002.74,9,94.4
1822,13.7,87.0,3.0,9.0,1,0,126.62,1008.29,17,16.5,77.0,1.0,15.0,1.0,-1.0,846.39,1008.16,8,69.7
2122,14.0,41.0,3.0,0.0,1,0,162.03,1016.22,17,18.1,28.0,4.0,0.0,1.0,0.0,871.72,1015.03,8,100.5
736,5.5,95.0,2.0,2.0,-1,0,878.54,1015.82,11,4.5,90.0,1.0,1.0,-1.0,1.0,341.16,1017.41,7,11.9
477,28.8,57.0,2.0,0.0,1,1,954.45,1000.36,11,24.0,69.0,2.0,0.0,-1.0,0.0,456.41,1001.02,8,203.3
1274,9.4,79.0,1.0,0.1,-1,0,44.1,1010.01,17,9.4,76.0,1.0,0.0,-1.0,0.0,789.03,1010.4,10,7.7
145,28.2,80.0,1.0,0.0,-1,0,446.88,999.3,8,26.2,91.0,2.0,0.0,-1.0,0.0,0.0,998.77,6,31.0
2335,14.0,99.0,1.0,0.2,0,-1,957.48,1005.12,11,13.7,99.0,1.0,0.2,1.0,-1.0,361.86,1004.98,6,24.7
514,28.5,58.0,3.0,0.0,0,1,76.68,997.18,17,30.0,56.0,4.0,0.0,1.0,1.0,783.11,996.66,10,121.7
2002,5.0,92.0,1.0,0.1,0,1,0.0,1013.45,20,4.7,92.0,2.0,0.0,1.0,0.0,148.37,1012.26,8,0.2
796,7.4,61.0,1.0,0.0,-1,0,4.39,1016.22,17,8.4,63.0,2.0,0.0,-1.0,1.0,739.58,1015.3,7,33.5
2216,19.6,63.0,2.0,0.0,1,-1,878.46,1003.93,14,21.7,55.0,1.0,0.0,1.0,-1.0,953.38,1005.38,7,207.3
148,28.2,80.0,1.0,0.0,-1,0,446.88,999.3,8,26.2,91.0,2.0,0.0,-1.0,0.0,0.0,998.77,9,38.7
1907,10.0,97.0,0.0,0.0,-1,1,333.69,1010.67,8,9.2,98.0,1.0,0.0,-1.0,-1.0,0.0,1010.14,8,3.2
1038,15.5,68.0,2.0,0.0,-1,-1,882.37,1005.91,11,9.3,95.0,3.0,0.0,-1.0,0.0,323.93,1006.57,9,162.6
212,27.9,79.0,5.0,0.0,1,0,112.91,999.56,17,28.8,79.0,1.0,0.5,-1.0,-1.0,795.63,999.04,8,61.2
1101,8.9,79.0,2.0,0.0,1,1,0.0,1013.05,20,10.4,71.0,1.0,0.0,1.0,-1.0,22.09,1012.12,7,0.2
1998,4.7,92.0,2.0,0.0,1,0,148.37,1012.26,17,5.6,82.0,2.0,0.0,1.0,0.0,861.67,1012.26,9,15.1
862,8.0,46.0,3.0,0.0,1,1,878.7,1022.43,11,2.0,48.0,1.0,0.0,-1.0,-1.0,332.46,1023.76,8,146.5
451,27.8,50.0,2.0,0.0,1,1,954.2,1002.47,11,24.3,59.0,2.0,0.0,0.0,1.0,455.87,1003.53,7,209.3
2082,4.1,93.0,2.0,0.0,-1,0,345.56,1016.75,8,3.5,93.0,2.0,0.0,-1.0,0.0,0.0,1014.64,8,11.1
346,27.8,77.0,1.0,0.0,-1,1,453.35,1002.21,8,25.3,88.0,1.0,0.0,-1.0,1.0,0.0,1000.49,7,21.7
1459,7.8,76.0,1.0,0.0,-1,1,323.25,1017.68,8,7.3,70.0,2.0,0.0,1.0,1.0,0.0,1016.49,10,3.7
1413,16.7,47.0,2.0,0.0,-1,-1,903.17,1011.46,11,9.4,64.0,3.0,0.0,-1.0,0.0,322.31,1012.52,9,174.3
1858,14.8,100.0,1.0,0.0,-1,-1,330.98,1005.78,8,14.6,99.0,1.0,0.0,-1.0,-1.0,0.0,1005.12,9,3.5
694,6.6,69.0,2.0,7.0,-1,1,732.59,1016.62,14,6.4,78.0,3.0,9.0,-1.0,1.0,879.04,1017.01,10,25.7
1768,11.7,36.0,3.0,0.0,1,0,841.86,1016.75,14,11.7,32.0,2.0,0.0,0.0,1.0,921.49,1019.26,9,243.6
1609,5.0,81.0,3.0,0.4,-1,1,322.99,1018.34,8,7.1,65.0,2.0,0.1,-1.0,1.0,0.0,1016.88,10,0.4
768,7.4,81.0,5.0,0.4,-1,1,737.7,1011.59,14,8.6,71.0,2.0,2.0,-1.0,1.0,878.41,1013.05,9,34.9
1081,7.9,65.0,2.0,0.0,1,1,322.36,1015.82,8,8.1,71.0,2.0,0.0,1.0,-1.0,0.0,1013.97,7,4.8
556,21.1,72.0,3.0,0.0,-1,1,780.69,1002.47,14,21.1,70.0,2.0,0.0,0.0,1.0,954.9,1004.59,7,50.5
1628,-0.4,88.0,0.0,6.0,0,0,0.0,1021.77,20,0.6,89.0,2.0,5.0,-1.0,0.0,98.96,1019.79,9,0.0
1373,12.2,75.0,2.0,0.0,1,0,60.17,1007.23,17,18.8,40.0,2.0,0.0,1.0,-1.0,801.92,1005.91,9,93.8
1682,3.9,48.0,1.0,0.0,0,1,324.34,1020.98,8,3.9,52.0,2.0,0.0,0.0,1.0,0.0,1018.6,8,3.4
1932,8.5,89.0,0.0,0.1,0,1,335.16,1010.27,8,8.4,94.0,2.0,0.1,1.0,1.0,0.0,1009.08,8,1.4
1438,12.5,77.0,2.0,0.0,1,-1,905.13,1015.56,11,10.3,90.0,0.0,0.0,1.0,1.0,323.05,1015.03,9,93.5
473,24.0,69.0,2.0,0.0,-1,0,456.41,1001.02,8,21.5,84.0,2.0,0.0,-1.0,1.0,0.0,999.96,9,45.2
2186,20.0,54.0,1.0,0.0,-1,-1,952.02,1008.55,11,12.9,85.0,2.0,0.0,-1.0,0.0,353.79,1009.48,7,161.9
788,7.6,70.0,1.0,0.0,0,1,878.36,1017.41,11,6.7,71.0,1.0,0.5,1.0,1.0,337.44,1016.62,9,41.5
2268,15.9,62.0,2.0,0.0,1,-1,879.61,1004.46,14,11.4,70.0,1.0,0.0,-1.0,-1.0,955.0,1008.16,9,145.1
1091,13.6,51.0,2.0,0.0,1,0,768.14,1012.52,14,11.6,51.0,2.0,0.0,1.0,1.0,884.15,1015.43,7,180.1
1548,14.9,84.0,0.0,0.0,0,0,88.18,1005.91,17,15.5,80.0,2.0,0.0,1.0,-1.0,821.34,1005.78,9,19.9
1040,17.4,56.0,3.0,0.0,1,0,762.68,1002.74,14,15.5,68.0,2.0,0.0,-1.0,-1.0,882.37,1005.91,6,163.8
803,5.4,66.0,2.0,0.0,-1,1,0.0,1017.81,20,7.4,61.0,1.0,0.0,-1.0,0.0,4.39,1016.22,9,0.2
429,24.2,87.0,1.0,14.0,1,1,953.91,1001.94,11,23.0,97.0,0.0,83.0,0.0,1.0,455.29,1001.42,10,43.7
2137,14.7,54.0,1.0,0.0,-1,-1,948.19,1018.34,11,6.4,77.0,3.0,0.0,-1.0,0.0,349.56,1018.6,8,167.3
1509,12.7,88.0,3.0,0.0,-1,0,322.71,1007.5,8,12.1,91.0,2.0,0.0,-1.0,0.0,0.0,1006.7,10,3.7
813,6.3,40.0,2.0,0.0,1,1,878.39,1022.04,11,3.0,42.0,3.0,0.0,0.0,1.0,335.7,1021.38,9,185.1
439,24.3,79.0,2.0,12.0,-1,1,85.75,1000.36,17,23.6,86.0,2.0,14.0,-1.0,1.0,786.61,1000.75,10,53.8
243,24.3,95.0,1.0,2.0,-1,1,0.0,1001.68,20,24.7,95.0,3.0,2.0,1.0,1.0,109.94,1000.36,9,1.6
2362,14.5,94.0,2.0,0.0,1,0,958.32,1002.6,11,13.8,98.0,0.0,0.2,1.0,-1.0,363.34,1003.13,8,53.3
1843,19.5,72.0,3.0,0.0,1,0,848.63,1005.78,14,16.7,84.0,1.0,0.1,-1.0,-1.0,926.33,1009.48,9,225.2
1758,7.0,63.0,2.0,0.0,0,1,326.62,1018.73,8,5.7,79.0,1.0,0.0,-1.0,0.0,0.0,1017.01,9,6.2
1210,14.9,58.0,1.0,0.0,-1,-1,889.99,1010.67,11,10.5,69.0,2.0,0.0,-1.0,0.0,320.22,1010.14,6,56.3
1652,0.5,53.0,3.0,0.0,-1,1,0.0,1021.77,20,3.3,45.0,3.0,0.0,-1.0,0.0,102.53,1020.19,8,0.0
1894,10.3,97.0,1.0,3.0,1,-1,853.07,1010.14,14,9.6,98.0,1.0,4.0,1.0,-1.0,929.74,1012.12,10,46.4
1701,6.4,53.0,0.0,0.0,1,0,0.0,1019.0,20,7.1,48.0,2.0,0.0,1.0,0.0,109.59,1017.81,7,0.5
262,29.5,74.0,2.0,0.0,1,0,106.95,998.64,17,32.1,61.0,2.0,0.0,1.0,-1.0,793.86,998.37,8,100.3
409,33.3,59.0,2.0,0.0,1,-1,787.73,996.39,14,32.0,58.0,1.0,0.0,1.0,-1.0,953.58,998.77,10,190.3
1813,12.8,90.0,2.0,18.0,-1,-1,924.68,1011.07,11,8.9,99.0,2.0,19.0,-1.0,-1.0,328.62,1011.46,9,93.6
765,7.4,81.0,5.0,0.4,-1,1,737.7,1011.59,14,8.6,71.0,2.0,2.0,-1.0,1.0,878.41,1013.05,6,32.1
407,33.3,59.0,2.0,0.0,1,-1,787.73,996.39,14,32.0,58.0,1.0,0.0,1.0,-1.0,953.58,998.77,8,205.5
1476,10.1,70.0,1.0,0.0,1,1,0.0,1015.82,20,12.4,59.0,3.0,0.0,1.0,0.0,77.4,1015.03,7,0.4
818,7.9,33.0,2.0,0.0,-1,0,741.54,1019.13,14,6.3,40.0,2.0,0.0,1.0,1.0,878.39,1022.04,9,240.0
446,24.3,59.0,2.0,0.0,0,1,455.87,1003.53,8,22.7,73.0,2.0,0.0,-1.0,1.0,0.0,1002.08,7,31.8
2244,8.6,77.0,1.0,1.0,0,-1,879.05,1011.33,14,7.5,85.0,2.0,1.0,1.0,0.0,954.18,1013.84,10,99.5
1845,15.8,86.0,3.0,0.0,1,1,129.9,1005.51,17,19.5,72.0,3.0,0.0,1.0,0.0,848.63,1005.78,6,84.6
915,10.7,42.0,3.0,0.0,1,1,750.19,1017.68,14,9.9,40.0,2.0,0.0,1.0,0.0,879.34,1020.32,6,195.5
226,28.0,79.0,2.0,0.3,1,1,949.91,1001.55,11,25.1,93.0,1.0,0.2,-1.0,1.0,449.5,1001.94,7,135.6
1719,9.4,46.0,2.0,0.0,1,0,837.3,1015.96,14,7.6,52.0,1.0,0.0,-1.0,-1.0,918.48,1019.79,10,76.3
938,9.8,56.0,2.0,0.0,-1,-1,879.78,1017.81,11,3.9,78.0,1.0,0.0,-1.0,-1.0,328.25,1018.6,9,131.9
2150,10.8,72.0,1.0,0.0,1,1,0.0,1016.09,20,15.1,48.0,2.0,0.0,1.0,0.0,164.55,1015.03,6,2.6
1100,8.9,79.0,2.0,0.0,1,1,0.0,1013.05,20,10.4,71.0,1.0,0.0,1.0,-1.0,22.09,1012.12,6,0.2
1650,0.5,53.0,3.0,0.0,-1,1,0.0,1021.77,20,3.3,45.0,3.0,0.0,-1.0,0.0,102.53,1020.19,6,0.1
2143,17.8,36.0,3.0,0.0,1,-1,873.61,1015.56,14,14.7,54.0,1.0,0.0,-1.0,-1.0,948.19,1018.34,9,280.8
1194,18.2,50.0,1.0,0.0,-1,-1,779.78,1006.31,14,14.2,54.0,3.0,0.0,-1.0,-1.0,888.67,1009.21,10,85.5
1118,16.1,51.0,2.0,0.0,1,-1,770.97,1006.31,14,13.4,56.0,0.0,0.0,1.0,0.0,885.16,1010.27,9,225.0
2086,12.4,55.0,1.0,0.0,-1,-1,944.37,1016.35,11,4.1,93.0,2.0,0.0,-1.0,0.0,345.56,1016.75,7,163.2
839,3.6,26.0,3.0,0.0,1,1,878.5,1026.67,11,-0.3,38.0,2.0,0.0,-1.0,1.0,334.04,1027.33,10,112.1
1797,8.0,89.0,1.0,0.3,-1,0,123.3,1013.58,17,8.1,82.0,1.0,0.2,-1.0,0.0,844.13,1014.24,8,15.0
2084,4.1,93.0,2.0,0.0,-1,0,345.56,1016.75,8,3.5,93.0,2.0,0.0,-1.0,0.0,0.0,1014.64,10,7.5
1835,16.7,84.0,1.0,0.1,-1,-1,926.33,1009.48,11,11.7,99.0,1.0,0.1,-1.0,0.0,329.76,1009.88,6,51.9
1200,13.1,67.0,0.0,0.0,-1,1,0.0,1009.08,20,15.9,60.0,1.0,0.0,1.0,0.0,33.6,1006.7,6,0.2
643,24.3,63.0,3.0,0.0,1,0,730.01,1005.25,14,20.6,69.0,2.0,0.0,-1.0,0.0,880.22,1008.69,9,143.7
495,26.0,70.0,3.0,0.0,0,1,456.91,999.83,8,23.3,83.0,1.0,0.0,-1.0,1.0,0.0,998.51,6,29.1
1239,13.2,63.0,1.0,0.0,1,0,891.39,1015.43,11,7.8,93.0,1.0,0.0,-1.0,-1.0,320.11,1015.43,10,82.9
394,27.6,80.0,2.0,0.0,1,-1,0.0,1000.62,20,29.7,67.0,3.0,0.0,1.0,0.0,91.83,999.83,10,3.5
1236,13.2,63.0,1.0,0.0,1,0,891.39,1015.43,11,7.8,93.0,1.0,0.0,-1.0,-1.0,320.11,1015.43,7,96.4
1667,8.2,33.0,2.0,0.0,1,-1,832.72,1018.6,14,5.0,35.0,1.0,0.0,1.0,1.0,915.65,1021.24,8,160.8
131,32.3,61.0,2.0,0.0,1,-1,798.01,999.04,14,32.4,60.0,2.0,0.0,1.0,-1.0,946.81,1000.62,7,251.4
1484,8.6,75.0,2.0,0.0,-1,0,322.92,1013.31,8,7.5,80.0,2.0,0.0,-1.0,0.0,0.0,1012.52,10,2.9
1209,10.5,69.0,2.0,0.0,-1,0,320.22,1010.14,8,10.2,71.0,2.0,0.0,-1.0,-1.0,0.0,1008.69,10,3.3
13,28.6,75.0,5.0,0.0,1,0,136.03,996.39,17,31.2,63.0,3.0,0.0,1.0,-1.0,801.45,995.86,9,121.3
2003,5.0,92.0,1.0,0.1,0,1,0.0,1013.45,20,4.7,92.0,2.0,0.0,1.0,0.0,148.37,1012.26,9,0.2
488,28.0,67.0,4.0,0.0,1,0,79.7,997.58,17,31.1,51.0,1.0,0.0,1.0,0.0,784.3,997.45,9,119.0
2116,18.1,28.0,4.0,0.0,1,0,871.72,1015.03,14,15.3,43.0,2.0,0.0,-1.0,-1.0,946.28,1017.81,7,239.1
17,28.0,79.0,2.0,0.0,1,0,0.0,998.11,20,28.6,75.0,5.0,0.0,1.0,0.0,136.03,996.39,8,2.1
618,16.4,60.0,2.0,0.0,-1,-1,728.92,1010.14,14,13.5,71.0,1.0,0.0,-1.0,-1.0,880.98,1013.18,9,109.8
1549,14.9,84.0,0.0,0.0,0,0,88.18,1005.91,17,15.5,80.0,2.0,0.0,1.0,-1.0,821.34,1005.78,10,17.5
1608,5.0,81.0,3.0,0.4,-1,1,322.99,1018.34,8,7.1,65.0,2.0,0.1,-1.0,1.0,0.0,1016.88,9,0.5
273,28.0,83.0,1.0,0.0,-1,0,451.12,1000.62,8,26.0,92.0,1.0,0.0,-1.0,1.0,0.0,999.17,9,45.6
1738,8.8,54.0,1.0,0.3,1,1,919.96,1017.81,11,6.0,65.0,2.0,0.2,1.0,0.0,325.76,1018.2,9,72.0
437,24.3,79.0,2.0,12.0,-1,1,85.75,1000.36,17,23.6,86.0,2.0,14.0,-1.0,1.0,786.61,1000.75,8,53.1
2240,8.6,77.0,1.0,1.0,0,-1,879.05,1011.33,14,7.5,85.0,2.0,1.0,1.0,0.0,954.18,1013.84,6,98.7
274,28.0,83.0,1.0,0.0,-1,0,451.12,1000.62,8,26.0,92.0,1.0,0.0,-1.0,1.0,0.0,999.17,10,20.5
2220,12.5,91.0,4.0,1.0,1,0,171.17,1007.89,17,19.6,63.0,2.0,0.0,1.0,-1.0,878.46,1003.93,6,26.2
806,3.0,42.0,3.0,0.0,0,1,335.7,1021.38,8,2.2,49.0,1.0,0.0,-1.0,0.0,0.0,1019.53,7,6.0
1393,18.8,34.0,3.0,0.0,1,0,805.22,1009.08,14,15.3,44.0,1.0,0.0,-1.0,-1.0,901.29,1011.33,9,232.3
283,31.4,69.0,4.0,0.0,1,-1,792.91,998.24,14,32.1,64.0,3.0,0.0,1.0,0.0,951.19,999.96,9,264.2
2111,15.3,43.0,2.0,0.0,-1,-1,946.28,1017.81,11,6.4,71.0,2.0,0.0,-1.0,-1.0,347.53,1017.68,7,171.2
1427,13.8,75.0,1.0,0.0,1,1,0.0,1009.88,20,16.7,63.0,3.0,0.0,1.0,0.0,68.87,1008.69,8,0.3
617,16.4,60.0,2.0,0.0,-1,-1,728.92,1010.14,14,13.5,71.0,1.0,0.0,-1.0,-1.0,880.98,1013.18,8,99.0
889,10.4,25.0,4.0,0.0,1,1,878.98,1021.38,11,5.7,44.0,3.0,0.0,1.0,1.0,330.97,1021.77,10,107.9
2,31.2,60.0,2.0,0.0,1,-1,942.25,996.92,11,27.5,83.0,0.0,0.0,-1.0,0.0,441.37,996.39,8,178.3
763,8.6,71.0,2.0,2.0,-1,1,878.41,1013.05,11,7.7,84.0,2.0,5.0,0.0,1.0,339.26,1012.65,9,34.6
782,6.7,71.0,1.0,0.5,1,1,337.44,1016.62,8,6.4,75.0,1.0,0.7,-1.0,1.0,0.0,1015.3,8,2.2
2365,15.7,91.0,3.0,0.0,1,0,881.45,1000.09,14,14.5,94.0,2.0,0.0,1.0,0.0,958.32,1002.6,6,62.8
2097,12.1,51.0,2.0,0.0,1,-1,159.43,1014.11,17,15.5,36.0,2.0,0.0,1.0,-1.0,869.79,1013.58,8,101.4
135,30.0,74.0,3.0,0.0,1,-1,121.72,998.77,17,32.3,61.0,2.0,0.0,1.0,-1.0,798.01,999.04,6,128.1
1028,11.3,88.0,1.0,0.0,0,-1,0.0,1011.46,20,13.0,75.0,2.0,0.0,1.0,0.0,15.45,1010.27,9,0.2
612,13.5,71.0,1.0,0.0,-1,-1,880.98,1013.18,11,11.0,75.0,0.0,0.0,-1.0,1.0,352.32,1013.71,8,42.9
1747,8.7,51.0,2.0,0.3,1,0,116.52,1015.03,17,11.0,48.0,1.0,0.3,1.0,-1.0,839.58,1014.64,8,49.6
897,7.8,53.0,3.0,0.0,1,0,7.89,1019.66,17,13.6,19.0,3.0,0.0,1.0,1.0,747.91,1018.47,8,54.0
1924,11.6,88.0,2.0,0.0,1,0,139.4,1007.89,17,13.6,82.0,2.0,0.0,1.0,0.0,855.26,1007.63,10,48.8
1900,9.5,93.0,2.0,3.0,1,0,0.0,1011.99,20,9.7,97.0,1.0,4.0,1.0,0.0,136.28,1010.8,6,0.6
1691,8.7,45.0,2.0,0.0,1,-1,835.01,1017.68,14,8.4,34.0,2.0,0.0,1.0,1.0,917.04,1020.19,7,129.6
2134,6.4,77.0,3.0,0.0,-1,0,349.56,1018.6,8,6.0,77.0,3.0,0.0,-1.0,0.0,0.0,1016.88,10,7.3
1673,4.3,52.0,3.0,0.0,1,0,106.07,1018.6,17,8.2,33.0,2.0,0.0,1.0,-1.0,832.72,1018.6,9,111.0
1531,13.1,88.0,1.0,0.0,1,0,322.61,1008.82,8,13.0,85.0,1.0,0.0,-1.0,-1.0,0.0,1007.76,7,0.5
1340,13.0,57.0,2.0,0.0,1,-1,798.65,1008.55,14,11.4,56.0,1.0,0.0,-1.0,-1.0,897.71,1011.33,6,165.4
1899,9.7,97.0,1.0,4.0,1,0,136.28,1010.8,17,10.3,97.0,1.0,3.0,1.0,-1.0,853.07,1010.14,10,14.9
