,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p),hour,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,POA_b,Po(p)_b,device_id,cc_diff
2320,18.1,84.0,3.0,0.0,1,1,175.86,999.7,17,22.8,67.0,3.0,0.0,1.0,0.0,880.61,1000.09,6,81.3
1362,12.9,55.0,2.0,0.0,-1,-1,899.46,1008.55,11,6.1,89.0,2.0,0.0,-1.0,0.0,321.14,1009.08,8,124.0
20,27.9,83.0,2.0,0.0,-1,0,442.12,998.64,8,26.7,86.0,1.0,0.0,1.0,0.0,0.0,997.18,6,20.1
1376,10.2,88.0,1.0,0.0,1,1,0.0,1008.69,20,12.2,75.0,2.0,0.0,1.0,0.0,60.17,1007.23,7,0.5
1680,3.9,48.0,1.0,0.0,0,1,324.34,1020.98,8,3.9,52.0,2.0,0.0,0.0,1.0,0.0,1018.6,6,3.5
926,5.7,71.0,1.0,0.0,1,1,0.0,1019.39,20,8.0,53.0,2.0,0.0,1.0,0.0,9.09,1018.2,7,0.2
2341,15.0,98.0,1.0,0.2,1,-1,881.05,1002.34,14,14.0,99.0,1.0,0.2,0.0,-1.0,957.48,1005.12,7,64.6
333,30.6,66.0,3.0,0.0,1,-1,790.93,998.64,14,30.5,63.0,2.0,0.0,-1.0,1.0,952.29,1000.36,9,252.7
1791,8.1,82.0,1.0,0.2,-1,0,844.13,1014.24,14,10.1,56.0,1.0,0.0,-1.0,1.0,923.07,1016.35,7,20.6
129,32.4,60.0,2.0,0.0,1,-1,946.81,1000.62,11,28.0,81.0,1.0,0.0,-1.0,0.0,445.97,1001.02,10,164.9
1214,14.9,58.0,1.0,0.0,-1,-1,889.99,1010.67,11,10.5,69.0,2.0,0.0,-1.0,0.0,320.22,1010.14,10,54.2
1008,10.9,94.0,1.0,0.0,1,1,324.86,1014.24,8,12.3,86.0,1.0,0.0,-1.0,-1.0,0.0,1013.18,9,7.6
485,28.0,67.0,4.0,0.0,1,0,79.7,997.58,17,31.1,51.0,1.0,0.0,1.0,0.0,784.3,997.45,6,119.3
1543,15.5,80.0,2.0,0.0,1,-1,821.34,1005.78,14,14.5,83.0,1.0,0.0,1.0,-1.0,909.52,1008.69,9,63.3
997,14.7,81.0,2.0,0.0,1,0,13.6,1012.26,17,19.0,62.0,2.0,0.0,1.0,-1.0,757.47,1011.46,8,52.6
748,7.6,98.0,2.0,1.0,-1,0,3.25,1012.26,17,7.0,96.0,2.0,1.0,-1.0,-1.0,735.91,1012.65,9,10.3
18,28.0,79.0,2.0,0.0,1,0,0.0,998.11,20,28.6,75.0,5.0,0.0,1.0,0.0,136.03,996.39,9,2.5
990,19.0,62.0,2.0,0.0,1,-1,757.47,1011.46,14,15.2,74.0,2.0,0.0,-1.0,-1.0,880.91,1013.97,6,189.7
2094,15.5,36.0,2.0,0.0,1,-1,869.79,1013.58,14,12.4,55.0,1.0,0.0,-1.0,-1.0,944.37,1016.35,10,217.2
194,28.5,83.0,4.0,0.0,1,1,0.0,999.56,20,30.3,74.0,4.0,0.0,1.0,0.0,115.87,998.24,10,2.1
1569,14.5,97.0,1.0,1.0,-1,-1,823.6,1005.12,14,13.9,96.0,1.0,0.7,-1.0,-1.0,910.63,1007.1,10,27.9
2065,11.4,52.0,3.0,0.0,1,-1,867.81,1011.99,14,10.8,47.0,2.0,0.0,1.0,1.0,942.48,1014.9,6,227.5
700,5.3,61.0,2.0,0.6,-1,1,0.0,1020.19,20,5.9,67.0,2.0,4.0,0.0,1.0,2.41,1018.2,6,0.0
2249,8.6,70.0,1.0,1.0,1,-1,172.41,1010.8,17,8.6,77.0,1.0,1.0,0.0,-1.0,879.05,1011.33,10,62.2
698,5.9,67.0,2.0,4.0,0,1,2.41,1018.2,17,6.6,69.0,2.0,7.0,-1.0,1.0,732.59,1016.62,9,10.3
1643,3.8,42.0,3.0,0.1,-1,0,830.43,1019.53,14,0.7,51.0,4.0,1.0,-1.0,0.0,914.31,1022.57,9,9.4
1433,10.3,90.0,0.0,0.0,1,1,323.05,1015.03,8,11.3,86.0,2.0,0.0,1.0,0.0,0.0,1012.26,9,4.7
35,29.7,79.0,3.0,0.0,1,0,133.11,996.52,17,31.5,67.0,4.0,0.0,1.0,-1.0,800.61,996.66,6,91.6
1852,14.8,97.0,1.0,0.0,1,0,0.0,1007.1,20,15.8,86.0,3.0,0.0,1.0,1.0,129.9,1005.51,8,0.3
1597,11.4,60.0,2.0,0.0,1,1,95.38,1013.45,17,12.2,62.0,2.0,0.0,1.0,-1.0,825.87,1011.86,8,34.3
2027,5.7,86.0,2.0,11.0,0,1,0.0,1011.46,20,6.0,90.0,2.0,14.0,0.0,1.0,151.24,1010.14,8,0.2
2363,14.5,94.0,2.0,0.0,1,0,958.32,1002.6,11,13.8,98.0,0.0,0.2,1.0,-1.0,363.34,1003.13,9,57.3
1868,19.1,79.0,5.0,0.0,1,0,850.86,1003.79,14,19.4,80.0,2.0,0.0,1.0,-1.0,928.02,1005.51,9,155.2
77,32.3,60.0,1.0,0.0,0,-1,944.99,998.77,11,26.9,80.0,1.0,0.0,-1.0,-1.0,444.08,999.17,8,196.1
1256,7.8,72.0,2.0,0.0,1,1,320.1,1013.84,8,7.8,76.0,1.0,0.0,1.0,1.0,0.0,1013.84,7,2.2
690,6.6,69.0,2.0,7.0,-1,1,732.59,1016.62,14,6.4,78.0,3.0,9.0,-1.0,1.0,879.04,1017.01,6,25.5
1838,16.7,84.0,1.0,0.1,-1,-1,926.33,1009.48,11,11.7,99.0,1.0,0.1,-1.0,0.0,329.76,1009.88,9,57.9
1961,14.8,60.0,1.0,0.0,0,-1,935.07,1010.67,11,9.2,87.0,2.0,0.0,1.0,1.0,336.72,1010.67,7,172.6
1716,9.4,46.0,2.0,0.0,1,0,837.3,1015.96,14,7.6,52.0,1.0,0.0,-1.0,-1.0,918.48,1019.79,7,81.3
2165,22.4,51.0,2.0,0.0,1,0,875.46,1009.08,14,18.3,55.0,2.0,0.0,-1.0,-1.0,950.1,1012.39,6,200.2
2083,4.1,93.0,2.0,0.0,-1,0,345.56,1016.75,8,3.5,93.0,2.0,0.0,-1.0,0.0,0.0,1014.64,9,12.9
1502,14.8,79.0,1.0,0.0,-1,0,0.0,1008.55,20,18.5,64.0,2.0,0.0,1.0,0.0,80.98,1007.76,8,0.4
507,30.0,56.0,4.0,0.0,1,1,783.11,996.66,14,29.5,57.0,4.0,0.0,1.0,1.0,954.64,998.37,8,239.6
410,30.2,69.0,2.0,0.0,1,-1,88.79,995.99,17,33.3,59.0,2.0,0.0,1.0,-1.0,787.73,996.39,6,104.4
854,2.8,44.0,3.0,0.0,1,1,0.0,1025.74,20,3.8,44.0,3.0,0.0,1.0,0.0,5.91,1024.55,10,0.2
1057,11.4,94.0,1.0,0.0,-1,0,323.09,1009.48,8,11.2,93.0,1.0,0.0,-1.0,-1.0,0.0,1005.91,8,5.8
1203,13.1,67.0,0.0,0.0,-1,1,0.0,1009.08,20,15.9,60.0,1.0,0.0,1.0,0.0,33.6,1006.7,9,0.3
292,28.3,81.0,4.0,0.0,1,0,0.0,1000.36,20,29.6,76.0,3.0,0.0,1.0,0.0,103.94,998.9,8,2.1
1865,19.1,79.0,5.0,0.0,1,0,850.86,1003.79,14,19.4,80.0,2.0,0.0,1.0,-1.0,928.02,1005.51,6,128.9
2048,7.3,68.0,1.0,0.4,-1,1,154.04,1009.88,17,7.6,71.0,2.0,0.4,1.0,1.0,865.8,1009.88,9,47.9
21,27.9,83.0,2.0,0.0,-1,0,442.12,998.64,8,26.7,86.0,1.0,0.0,1.0,0.0,0.0,997.18,7,19.1
1939,10.2,75.0,2.0,0.4,1,-1,933.26,1009.21,11,8.5,89.0,0.0,0.1,0.0,1.0,335.16,1010.27,10,45.0
1624,0.6,89.0,2.0,5.0,-1,0,98.96,1019.79,17,1.9,91.0,2.0,3.0,-1.0,1.0,828.15,1018.07,10,10.5
1445,10.4,75.0,3.0,0.0,1,0,73.35,1015.56,17,11.7,76.0,3.0,0.0,1.0,0.0,811.89,1013.97,6,24.4
