,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
2,19130,8,65.92,66.98,199.0,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,178.3,39.62,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
7,19220,8,77.25,78.58,450.9,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,251.9,65.92,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
12,19310,8,7.89,8.11,565.2,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.03,114.3,77.25,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
17,19400,8,0.0,0.0,567.3,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.1,7.89,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
22,19760,8,45.2,45.87,20.0,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,20.0,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
27,19850,8,70.19,71.37,116.9,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,96.9,45.2,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
32,19940,8,49.33,50.04,353.5,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61,236.6,70.19,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0,14
37,19985,8,5.79,6.08,434.3,2023-09-15 17:00:00,29.7,79.0,3.0,0.0,1,0,996.52,133.11,80.8,49.33,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
42,21210,8,0.0,0.0,437.0,2023-09-15 20:00:00,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,2.7,5.79,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
47,21570,8,14.87,15.17,18.0,2023-09-16 08:00:00,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,18.0,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
52,21660,8,46.18,46.92,112.7,2023-09-16 11:00:00,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,94.7,14.87,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
57,21750,8,30.25,30.67,229.8,2023-09-16 14:00:00,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,117.1,46.18,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
62,21840,8,14.0,14.25,282.3,2023-09-16 17:00:00,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,52.5,30.25,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
67,21930,8,0.0,0.0,289.2,2023-09-16 20:00:00,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,6.9,14.0,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
72,22290,8,38.22,38.74,30.5,2023-09-17 08:00:00,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,30.5,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
77,22380,8,87.99,89.47,226.6,2023-09-17 11:00:00,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,196.1,38.22,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
82,22470,8,69.99,71.09,439.6,2023-09-17 14:00:00,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,213.0,87.99,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
87,22560,8,4.53,4.92,551.2,2023-09-17 17:00:00,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,111.6,69.99,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
92,22650,8,0.0,0.0,554.7,2023-09-17 20:00:00,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.5,4.53,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
97,23010,8,42.14,42.74,33.0,2023-09-18 08:00:00,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,33.0,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
102,23100,8,83.09,84.49,179.8,2023-09-18 11:00:00,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,146.8,42.14,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
107,23190,8,69.72,70.85,429.3,2023-09-18 14:00:00,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,249.5,83.09,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
112,23275,8,6.31,6.56,543.6,2023-09-18 17:00:00,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,114.3,69.72,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
117,23365,8,0.0,0.0,546.5,2023-09-18 20:00:00,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,2.9,6.31,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
122,23725,8,40.35,40.94,34.7,2023-09-19 08:00:00,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,34.7,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
127,23815,8,85.94,87.4,228.2,2023-09-19 11:00:00,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,193.5,40.35,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
132,23905,8,74.65,75.9,481.4,2023-09-19 14:00:00,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,253.2,85.94,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
137,23995,8,5.29,5.59,600.6,2023-09-19 17:00:00,30.0,74.0,3.0,0.0,1,-1,998.77,121.72,119.2,74.65,32.3,61.0,2.0,0.0,1.0,-1.0,999.04,798.01,17
142,24085,8,0.0,0.0,604.4,2023-09-19 20:00:00,28.5,80.0,1.0,0.0,1,-1,999.96,0.0,3.8,5.29,30.0,74.0,3.0,0.0,1.0,-1.0,998.77,121.72,20
147,24445,8,40.37,40.92,31.3,2023-09-20 08:00:00,28.2,80.0,1.0,0.0,-1,0,999.3,446.88,31.3,0.0,26.2,91.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
152,24535,8,66.8,67.85,213.8,2023-09-20 11:00:00,31.5,61.0,1.0,0.0,-1,-1,998.24,947.66,182.5,40.37,28.2,80.0,1.0,0.0,-1.0,0.0,999.3,446.88,11
157,24625,8,64.89,65.88,424.2,2023-09-20 14:00:00,32.0,64.0,3.0,0.0,1,-1,996.13,797.26,210.4,66.8,31.5,61.0,1.0,0.0,-1.0,-1.0,998.24,947.66,14
162,24715,8,8.81,9.08,534.3,2023-09-20 17:00:00,29.7,78.0,3.0,0.0,1,0,996.39,118.81,110.1,64.89,32.0,64.0,3.0,0.0,1.0,-1.0,996.13,797.26,17
167,24805,8,0.0,0.0,538.0,2023-09-20 20:00:00,28.5,83.0,2.0,0.0,1,1,997.98,0.0,3.7,8.81,29.7,78.0,3.0,0.0,1.0,0.0,996.39,118.81,20
172,25165,8,43.19,43.84,30.3,2023-09-21 08:00:00,29.4,78.0,1.0,0.0,1,1,999.56,447.78,30.3,0.0,26.4,93.0,1.0,0.0,-1.0,0.0,997.98,0.0,8
177,25255,8,80.49,81.9,229.5,2023-09-21 11:00:00,32.6,63.0,2.0,0.0,1,0,999.43,948.45,199.2,43.19,29.4,78.0,1.0,0.0,1.0,1.0,999.56,447.78,11
182,25345,8,70.18,71.34,475.7,2023-09-21 14:00:00,32.6,63.0,4.0,0.0,1,-1,997.58,796.47,246.2,80.49,32.6,63.0,2.0,0.0,1.0,0.0,999.43,948.45,14
187,25435,8,5.76,6.14,586.8,2023-09-21 17:00:00,30.3,74.0,4.0,0.0,1,0,998.24,115.87,111.1,70.18,32.6,63.0,4.0,0.0,1.0,-1.0,997.58,796.47,17
192,25525,8,0.0,0.0,589.0,2023-09-21 20:00:00,28.5,83.0,4.0,0.0,1,1,999.56,0.0,2.2,5.76,30.3,74.0,4.0,0.0,1.0,0.0,998.24,115.87,20
