,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p)
123,22291,9,48.23,48.85,38.9,26.9,80.0,1.0,0,-1,-1,444.07879699701704,999.17
124,22292,10,30.07,30.47,23.8,26.9,80.0,1.0,0,-1,-1,444.07879699701704,999.17
125,22378,6,85.57,87.01,221.1,32.3,60.0,1.0,0,0,-1,944.9937787846317,998.77
126,22379,7,87.25,88.71,223.5,32.3,60.0,1.0,0,0,-1,944.9937787846317,998.77
127,22380,8,87.99,89.47,226.6,32.3,60.0,1.0,0,0,-1,944.9937787846317,998.77
128,22381,9,95.76,97.43,269.8,32.3,60.0,1.0,0,0,-1,944.9937787846317,998.77
129,22382,10,78.99,80.35,194.3,32.3,60.0,1.0,0,0,-1,944.9937787846317,998.77
130,22468,6,68.22,69.3,427.6,32.1,66.0,4.0,0,1,-1,799.3976025171437,996.79
131,22469,7,70.17,71.29,435.4,32.1,66.0,4.0,0,1,-1,799.3976025171437,996.79
132,22470,8,69.99,71.09,439.6,32.1,66.0,4.0,0,1,-1,799.3976025171437,996.79
133,22471,9,73.75,74.98,521.3,32.1,66.0,4.0,0,1,-1,799.3976025171437,996.79
134,22472,10,68.68,69.82,394.1,32.1,66.0,4.0,0,1,-1,799.3976025171437,996.79
135,22558,6,4.52,4.84,542.3,29.7,80.0,2.0,0,1,-1,127.46865437834347,997.18
136,22559,7,4.79,5.02,551.7,29.7,80.0,2.0,0,1,-1,127.46865437834347,997.18
137,22560,8,4.53,4.92,551.2,29.7,80.0,2.0,0,1,-1,127.46865437834347,997.18
138,22561,9,4.76,5.12,639.1,29.7,80.0,2.0,0,1,-1,127.46865437834347,997.18
139,22562,10,4.73,4.95,512.9,29.7,80.0,2.0,0,1,-1,127.46865437834347,997.18
160,23008,6,38.21,38.76,30.8,28.0,86.0,1.0,0,-1,-1,445.03283657903717,1000.36
161,23009,7,38.84,39.38,31.3,28.0,86.0,1.0,0,-1,-1,445.03283657903717,1000.36
162,23010,8,42.14,42.74,33.0,28.0,86.0,1.0,0,-1,-1,445.03283657903717,1000.36
163,23011,9,48.73,49.4,38.7,28.0,86.0,1.0,0,-1,-1,445.03283657903717,1000.36
164,23012,10,31.64,32.1,24.9,28.0,86.0,1.0,0,-1,-1,445.03283657903717,1000.36
165,23098,6,79.98,81.31,177.4,32.0,63.0,2.0,0,-1,-1,945.9247283992481,999.96
166,23099,7,80.64,81.99,180.9,32.0,63.0,2.0,0,-1,-1,945.9247283992481,999.96
167,23100,8,83.09,84.49,179.8,32.0,63.0,2.0,0,-1,-1,945.9247283992481,999.96
168,23101,9,91.48,93.01,213.4,32.0,63.0,2.0,0,-1,-1,945.9247283992481,999.96
169,23102,10,74.43,75.69,158.2,32.0,63.0,2.0,0,-1,-1,945.9247283992481,999.96
170,23188,6,68.76,69.89,419.4,32.7,63.0,3.0,0,1,-1,798.7265858966164,998.37
171,23189,7,69.48,70.62,425.8,32.7,63.0,3.0,0,1,-1,798.7265858966164,998.37
172,23190,8,69.72,70.85,429.3,32.7,63.0,3.0,0,1,-1,798.7265858966164,998.37
173,23191,9,72.84,74.05,480.0,32.7,63.0,3.0,0,1,-1,798.7265858966164,998.37
174,23192,10,67.59,68.71,384.7,32.7,63.0,3.0,0,1,-1,798.7265858966164,998.37
175,23273,6,8.73,9.05,540.3,30.3,71.0,3.0,0,1,-1,124.60663219982278,998.77
176,23274,7,9.55,9.89,547.7,30.3,71.0,3.0,0,1,-1,124.60663219982278,998.77
177,23275,8,6.31,6.56,543.6,30.3,71.0,3.0,0,1,-1,124.60663219982278,998.77
178,23276,9,6.76,7.29,603.5,30.3,71.0,3.0,0,1,-1,124.60663219982278,998.77
179,23277,10,14.79,15.09,514.0,30.3,71.0,3.0,0,1,-1,124.60663219982278,998.77
200,23723,6,39.26,39.82,32.8,28.0,81.0,1.0,0,-1,0,445.9681025529249,1001.02
201,23724,7,40.15,40.73,34.0,28.0,81.0,1.0,0,-1,0,445.9681025529249,1001.02
202,23725,8,40.35,40.94,34.7,28.0,81.0,1.0,0,-1,0,445.9681025529249,1001.02
203,23726,9,50.75,51.48,47.9,28.0,81.0,1.0,0,-1,0,445.9681025529249,1001.02
204,23727,10,31.14,31.59,24.5,28.0,81.0,1.0,0,-1,0,445.9681025529249,1001.02
205,23813,6,83.9,85.35,221.0,32.4,60.0,2.0,0,1,-1,946.8119823212817,1000.62
206,23814,7,84.94,86.38,224.5,32.4,60.0,2.0,0,1,-1,946.8119823212817,1000.62
207,23815,8,85.94,87.4,228.2,32.4,60.0,2.0,0,1,-1,946.8119823212817,1000.62
208,23816,9,95.2,96.81,267.9,32.4,60.0,2.0,0,1,-1,946.8119823212817,1000.62
209,23817,10,76.86,78.19,189.4,32.4,60.0,2.0,0,1,-1,946.8119823212817,1000.62
210,23903,6,73.65,74.94,470.0,32.3,61.0,2.0,0,1,-1,798.0138131834665,999.04
211,23904,7,74.89,76.13,475.9,32.3,61.0,2.0,0,1,-1,798.0138131834665,999.04
212,23905,8,74.65,75.9,481.4,32.3,61.0,2.0,0,1,-1,798.0138131834665,999.04
213,23906,9,79.0,80.3,538.3,32.3,61.0,2.0,0,1,-1,798.0138131834665,999.04
214,23907,10,72.48,73.72,424.7,32.3,61.0,2.0,0,1,-1,798.0138131834665,999.04
215,23993,6,12.81,13.07,598.1,30.0,74.0,3.0,0,1,-1,121.71847867523329,998.77
216,23994,7,11.43,11.69,607.0,30.0,74.0,3.0,0,1,-1,121.71847867523329,998.77
217,23995,8,5.29,5.59,600.6,30.0,74.0,3.0,0,1,-1,121.71847867523329,998.77
218,23996,9,9.28,9.6,667.3,30.0,74.0,3.0,0,1,-1,121.71847867523329,998.77
219,23997,10,19.34,19.62,561.5,30.0,74.0,3.0,0,1,-1,121.71847867523329,998.77
240,24443,6,37.32,37.85,31.0,28.2,80.0,1.0,0,-1,0,446.8834692058498,999.3
241,24444,7,40.44,40.98,30.7,28.2,80.0,1.0,0,-1,0,446.8834692058498,999.3
242,24445,8,40.37,40.92,31.3,28.2,80.0,1.0,0,-1,0,446.8834692058498,999.3
243,24446,9,48.48,49.13,38.7,28.2,80.0,1.0,0,-1,0,446.8834692058498,999.3
244,24447,10,31.1,31.55,25.0,28.2,80.0,1.0,0,-1,0,446.8834692058498,999.3
245,24533,6,66.13,67.19,210.1,31.5,61.0,1.0,0,-1,-1,947.6550326034292,998.24
246,24534,7,64.86,65.88,211.3,31.5,61.0,1.0,0,-1,-1,947.6550326034292,998.24
247,24535,8,66.8,67.85,213.8,31.5,61.0,1.0,0,-1,-1,947.6550326034292,998.24
248,24536,9,65.82,66.86,247.6,31.5,61.0,1.0,0,-1,-1,947.6550326034292,998.24
249,24537,10,58.77,59.68,183.8,31.5,61.0,1.0,0,-1,-1,947.6550326034292,998.24
250,24623,6,64.69,65.65,416.1,32.0,64.0,3.0,0,1,-1,797.2601399527896,996.13
251,24624,7,64.11,65.09,424.1,32.0,64.0,3.0,0,1,-1,797.2601399527896,996.13
252,24625,8,64.89,65.88,424.2,32.0,64.0,3.0,0,1,-1,797.2601399527896,996.13
253,24626,9,68.02,69.1,478.7,32.0,64.0,3.0,0,1,-1,797.2601399527896,996.13
254,24627,10,63.67,64.69,380.5,32.0,64.0,3.0,0,1,-1,797.2601399527896,996.13
255,24713,6,8.74,9.0,527.7,29.7,78.0,3.0,0,1,0,118.80590685131745,996.39
256,24714,7,9.03,9.47,534.2,29.7,78.0,3.0,0,1,0,118.80590685131745,996.39
257,24715,8,8.81,9.08,534.3,29.7,78.0,3.0,0,1,0,118.80590685131745,996.39
258,24716,9,9.33,9.77,591.8,29.7,78.0,3.0,0,1,0,118.80590685131745,996.39
259,24717,10,9.46,9.79,494.7,29.7,78.0,3.0,0,1,0,118.80590685131745,996.39
280,25163,6,42.61,43.24,29.8,29.4,78.0,1.0,0,1,1,447.77781053962167,999.56
281,25164,7,42.38,42.97,28.8,29.4,78.0,1.0,0,1,1,447.77781053962167,999.56
282,25165,8,43.19,43.84,30.3,29.4,78.0,1.0,0,1,1,447.77781053962167,999.56
283,25166,9,40.4,40.99,33.0,29.4,78.0,1.0,0,1,1,447.77781053962167,999.56
284,25167,10,35.5,36.03,24.6,29.4,78.0,1.0,0,1,1,447.77781053962167,999.56
285,25253,6,79.57,80.95,224.5,32.6,63.0,2.0,0,1,0,948.4534256244754,999.43
286,25254,7,82.7,84.24,230.3,32.6,63.0,2.0,0,1,0,948.4534256244754,999.43
287,25255,8,80.49,81.9,229.5,32.6,63.0,2.0,0,1,0,948.4534256244754,999.43
288,25256,9,90.55,92.18,262.9,32.6,63.0,2.0,0,1,0,948.4534256244754,999.43
289,25257,10,76.09,77.4,201.3,32.6,63.0,2.0,0,1,0,948.4534256244754,999.43
290,25343,6,67.84,68.95,465.9,32.6,63.0,4.0,0,1,-1,796.4665035441033,997.58
291,25344,7,69.37,70.53,472.9,32.6,63.0,4.0,0,1,-1,796.4665035441033,997.58
292,25345,8,70.18,71.34,475.7,32.6,63.0,4.0,0,1,-1,796.4665035441033,997.58
293,25346,9,73.18,74.4,524.8,32.6,63.0,4.0,0,1,-1,796.4665035441033,997.58
294,25347,10,67.3,68.45,427.3,32.6,63.0,4.0,0,1,-1,796.4665035441033,997.58
295,25433,6,4.87,5.2,577.4,30.3,74.0,4.0,0,1,0,115.87071642757991,998.24
296,25434,7,4.88,5.13,587.1,30.3,74.0,4.0,0,1,0,115.87071642757991,998.24
297,25435,8,5.76,6.14,586.8,30.3,74.0,4.0,0,1,0,115.87071642757991,998.24
298,25436,9,5.6,5.88,641.2,30.3,74.0,4.0,0,1,0,115.87071642757991,998.24
299,25437,10,5.13,5.43,542.8,30.3,74.0,4.0,0,1,0,115.87071642757991,998.24
320,25883,6,41.51,42.05,28.2,25.4,95.0,0.0,0.7,-1,-1,448.64998639943224,1000.75
321,25884,7,44.82,45.5,28.8,25.4,95.0,0.0,0.7,-1,-1,448.64998639943224,1000.75
322,25885,8,45.2,45.98,30.1,25.4,95.0,0.0,0.7,-1,-1,448.64998639943224,1000.75
323,25886,9,51.87,52.94,34.1,25.4,95.0,0.0,0.7,-1,-1,448.64998639943224,1000.75
324,25887,10,37.28,37.86,25.0,25.4,95.0,0.0,0.7,-1,-1,448.64998639943224,1000.75
325,25973,6,41.65,42.22,133.8,25.6,96.0,1.0,1,-1,0,949.206758420557,1001.15
326,25974,7,40.6,41.16,134.7,25.6,96.0,1.0,1,-1,0,949.206758420557,1001.15
327,25975,8,43.32,43.94,135.9,25.6,96.0,1.0,1,-1,0,949.206758420557,1001.15
328,25976,9,41.66,42.24,149.8,25.6,96.0,1.0,1,-1,0,949.206758420557,1001.15
329,25977,10,40.57,41.15,124.1,25.6,96.0,1.0,1,-1,0,949.206758420557,1001.15
330,26063,6,30.39,30.84,245.5,28.8,79.0,1.0,0.5,-1,-1,795.63393122521,999.04
331,26064,7,29.63,30.05,247.3,28.8,79.0,1.0,0.5,-1,-1,795.63393122521,999.04
332,26065,8,27.97,28.38,246.9,28.8,79.0,1.0,0.5,-1,-1,795.63393122521,999.04
333,26066,9,29.71,30.14,271.0,28.8,79.0,1.0,0.5,-1,-1,795.63393122521,999.04
334,26067,10,31.18,31.63,233.9,28.8,79.0,1.0,0.5,-1,-1,795.63393122521,999.04
335,26153,6,8.45,8.82,307.5,27.9,79.0,5.0,0,1,0,112.91480786710048,999.56
336,26154,7,8.5,8.75,309.8,27.9,79.0,5.0,0,1,0,112.91480786710048,999.56
337,26155,8,8.14,8.41,308.1,27.9,79.0,5.0,0,1,0,112.91480786710048,999.56
338,26156,9,8.67,9.03,336.9,27.9,79.0,5.0,0,1,0,112.91480786710048,999.56
339,26157,10,8.75,9.09,295.4,27.9,79.0,5.0,0,1,0,112.91480786710048,999.56
360,26603,6,43.33,43.9,16.0,25.1,93.0,1.0,0.2,-1,1,449.49882753788563,1001.94
361,26604,7,45.15,45.78,15.4,25.1,93.0,1.0,0.2,-1,1,449.49882753788563,1001.94
362,26605,8,45.42,46.03,16.1,25.1,93.0,1.0,0.2,-1,1,449.49882753788563,1001.94
363,26606,9,52.59,53.5,18.3,25.1,93.0,1.0,0.2,-1,1,449.49882753788563,1001.94
364,26607,10,39.63,40.16,15.2,25.1,93.0,1.0,0.2,-1,1,449.49882753788563,1001.94
365,26693,6,13.77,14.03,148.7,28.0,79.0,2.0,0.3,1,1,949.9146745891429,1001.55
366,26694,7,13.34,13.75,151.0,28.0,79.0,2.0,0.3,1,1,949.9146745891429,1001.55
367,26695,8,13.45,13.73,152.0,28.0,79.0,2.0,0.3,1,1,949.9146745891429,1001.55
368,26696,9,20.23,20.73,186.6,28.0,79.0,2.0,0.3,1,1,949.9146745891429,1001.55
369,26697,10,13.89,14.15,137.3,28.0,79.0,2.0,0.3,1,1,949.9146745891429,1001.55
370,26783,6,14.9,15.18,219.4,27.7,79.0,4.0,0.2,1,1,794.7635483128192,999.96
371,26784,7,15.49,15.82,222.5,27.7,79.0,4.0,0.2,1,1,794.7635483128192,999.96
372,26785,8,15.49,15.78,223.2,27.7,79.0,4.0,0.2,1,1,794.7635483128192,999.96
373,26786,9,16.33,16.69,267.5,27.7,79.0,4.0,0.2,1,1,794.7635483128192,999.96
374,26787,10,15.66,15.95,207.0,27.7,79.0,4.0,0.2,1,1,794.7635483128192,999.96
375,26873,6,3.05,3.36,239.4,24.7,95.0,3.0,2,1,1,109.9401964311453,1000.36
376,26874,7,3.07,3.39,242.9,24.7,95.0,3.0,2,1,1,109.9401964311453,1000.36
377,26875,8,3.03,3.46,243.2,24.7,95.0,3.0,2,1,1,109.9401964311453,1000.36
378,26876,9,3.51,3.86,290.8,24.7,95.0,3.0,2,1,1,109.9401964311453,1000.36
379,26877,10,3.1,3.37,227.0,24.7,95.0,3.0,2,1,1,109.9401964311453,1000.36
400,27323,6,36.81,37.32,31.9,27.8,80.0,1.0,0,1,0,450.3231217170244,1001.28
401,27324,7,37.17,37.64,32.4,27.8,80.0,1.0,0,1,0,450.3231217170244,1001.28
402,27325,8,37.11,37.57,33.5,27.8,80.0,1.0,0,1,0,450.3231217170244,1001.28
403,27326,9,53.1,53.83,49.4,27.8,80.0,1.0,0,1,0,450.3231217170244,1001.28
404,27327,10,29.79,30.22,24.8,27.8,80.0,1.0,0,1,0,450.3231217170244,1001.28
405,27413,6,67.98,69.07,208.1,31.4,65.0,1.0,0,0,-1,950.576860281705,1000.62
406,27414,7,69.13,70.25,211.2,31.4,65.0,1.0,0,0,-1,950.576860281705,1000.62
407,27415,8,68.81,69.92,211.4,31.4,65.0,1.0,0,0,-1,950.576860281705,1000.62
408,27416,9,84.56,85.97,289.2,31.4,65.0,1.0,0,0,-1,950.576860281705,1000.62
409,27417,10,61.28,62.26,182.4,31.4,65.0,1.0,0,0,-1,950.576860281705,1000.62
410,27503,6,61.86,63.0,408.2,32.1,61.0,2.0,0,1,-1,793.8565844871467,998.37
411,27504,7,63.4,64.31,414.9,32.1,61.0,2.0,0,1,-1,793.8565844871467,998.37
412,27505,8,63.18,64.22,413.9,32.1,61.0,2.0,0,1,-1,793.8565844871467,998.37
413,27506,9,76.03,77.28,536.5,32.1,61.0,2.0,0,1,-1,793.8565844871467,998.37
414,27507,10,61.23,62.15,369.5,32.1,61.0,2.0,0,1,-1,793.8565844871467,998.37
415,27593,6,6.11,6.42,517.5,29.5,74.0,2.0,0,1,0,106.94902351863279,998.64
416,27594,7,5.84,6.12,526.3,29.5,74.0,2.0,0,1,0,106.94902351863279,998.64
417,27595,8,3.79,4.1,514.2,29.5,74.0,2.0,0,1,0,106.94902351863279,998.64
418,27596,9,6.35,6.83,664.0,29.5,74.0,2.0,0,1,0,106.94902351863279,998.64
419,27597,10,10.94,11.22,487.4,29.5,74.0,2.0,0,1,0,106.94902351863279,998.64
440,28043,6,34.85,35.31,27.9,28.0,83.0,1.0,0,-1,0,451.1216024407998,1000.62
441,28044,7,35.25,35.69,27.5,28.0,83.0,1.0,0,-1,0,451.1216024407998,1000.62
442,28045,8,34.96,35.4,28.3,28.0,83.0,1.0,0,-1,0,451.1216024407998,1000.62
443,28046,9,50.18,50.86,45.6,28.0,83.0,1.0,0,-1,0,451.1216024407998,1000.62
444,28047,10,27.46,27.86,20.5,28.0,83.0,1.0,0,-1,0,451.1216024407998,1000.62
445,28133,6,22.31,23.19,187.2,32.1,64.0,3.0,0,1,0,951.1930402219401,999.96
446,28134,7,61.38,63.45,191.3,32.1,64.0,3.0,0,1,0,951.1930402219401,999.96
447,28135,8,76.72,77.99,188.6,32.1,64.0,3.0,0,1,0,951.1930402219401,999.96
448,28136,9,97.3,98.9,262.2,32.1,64.0,3.0,0,1,0,951.1930402219401,999.96
449,28137,10,67.65,68.95,160.0,32.1,64.0,3.0,0,1,0,951.1930402219401,999.96
450,28223,6,62.67,63.64,396.6,31.4,69.0,4.0,0,1,-1,792.9143763029821,998.24
451,28224,7,63.2,64.14,403.0,31.4,69.0,4.0,0,1,-1,792.9143763029821,998.24
452,28225,8,63.08,63.95,402.9,31.4,69.0,4.0,0,1,-1,792.9143763029821,998.24
453,28226,9,75.02,76.29,526.4,31.4,69.0,4.0,0,1,-1,792.9143763029821,998.24
454,28227,10,61.38,62.31,360.9,31.4,69.0,4.0,0,1,-1,792.9143763029821,998.24
455,28313,6,6.16,6.52,505.6,29.6,76.0,3.0,0,1,0,103.94356266743685,998.9
456,28314,7,6.2,6.58,511.9,29.6,76.0,3.0,0,1,0,103.94356266743685,998.9
